Galaxy,Distance_Mpc,Uncertainty_Mpc
MRK0003,61.4,6.149
MRK0035,18.94,1.491
NGC1275,69.03,8.92
NGC1357,28.06,2.033
NGC1832,24.864,5.757
NGC2276,20.39,6.562
NGC2775,15.5,2.121
NGC2798,24.83,5.214
NGC2903,8.07,1.956
NGC3034,3.907,0.687
NGC3077,3.651,0.555
NGC3147,39.613,8.947
NGC3227,18.257,6.634
NGC3245,19.053,5.435
NGC3368,10.781,1.566
NGC3379,10.854,2.302
NGC3627,9.464,1.971
NGC4750,26.1,2
NGC4775,16.275,7.316
NGC5195,7.196,2.114
NGC5248,13.247,4.271
NGC6181,31.638,5.306
NGC6643,19.4,3.267
