Galaxy,Shift_A,Unweighted_Residual_A,Weighted_Residual_A
NGC1832,33.0033333333334,1.67000000000007,7.00333333333341
NGC2276,40.6700000000001,4.00333333333341,8.67000000000007
NGC2798,27.6700000000001,2.33666666666674,7.67000000000007
NGC2903,6.67000000000007,2.67000000000007,2.67000000000007
NGC3034,2.86333333333338,0.863333333333382,0.863333333333382
NGC3077,4.32999999999993,4.32999999999993,4.32999999999993
NGC3147,42.6700000000001,1.19666666666672,8.67000000000007
NGC3368,15.3366666666667,2.53000000000005,3.33666666666674
NGC3627,11.0033333333334,2.19666666666672,3.00333333333341
NGC4750,25.4700000000000,3.46999999999995,3.46999999999995
NGC4775,28.0033333333334,2.53000000000005,4.00333333333341
NGC5195,16.0033333333334,0.530000000000049,8.00333333333341
NGC5248,17.8033333333333,2.32999999999993,3.80333333333329
NGC6181,37.3366666666667,0.670000000000073,5.33666666666674
NGC6643,22.6700000000001,0.530000000000049,4.67000000000007
