wavelength_A,normalized_intensity
4218.00,0.9252
4219.00,0.9268
4220.00,0.9319
4221.00,0.9348
4222.00,0.9260
4223.00,0.9139
4224.00,0.8839
4225.00,0.8463
4226.00,0.8367
4227.00,0.8457
4228.00,0.8724
4229.00,0.9184
4230.00,0.9439
4231.00,0.9266
4232.00,0.8929
4233.00,0.8801
4234.00,0.8817
4235.00,0.8855
4236.00,0.8929
4237.00,0.9011
4238.00,0.9062
4239.00,0.9110
4240.00,0.9177
4241.00,0.9260
4242.00,0.9311
4243.00,0.9349
4244.00,0.9206
4245.00,0.9051
4246.00,0.8833
4247.00,0.8724
4248.00,0.8763
4249.00,0.8852
4250.00,0.8871
4251.00,0.8941
4252.00,0.9083
4253.00,0.9196
4254.00,0.9260
4255.00,0.9235
4256.00,0.9298
4257.00,0.9158
4258.00,0.9037
4259.00,0.8986
4260.00,0.8929
4261.00,0.9094
4262.00,0.9375
4263.00,0.9528
4264.00,0.9694
4265.00,0.9617
4266.00,0.9482
4267.00,0.9413
4268.00,0.9273
4269.00,0.9082
4270.00,0.8916
4271.00,0.8750
4272.00,0.8740
4273.00,0.8796
4274.00,0.8701
4275.00,0.8826
4276.00,0.9046
4277.00,0.9190
4278.00,0.9243
4279.00,0.9263
4280.00,0.9335
4281.00,0.9219
4282.00,0.9187
4283.00,0.9094
4284.00,0.9048
4285.00,0.9065
4286.00,0.8967
4287.00,0.8782
4288.00,0.8597
4289.00,0.8546
4290.00,0.8578
4291.00,0.8622
4292.00,0.8691
4293.00,0.8763
4294.00,0.8739
4295.00,0.8737
4296.00,0.8648
4297.00,0.8486
4298.00,0.8310
4299.00,0.8095
4300.00,0.7985
4301.00,0.7881
4302.00,0.8010
4303.00,0.8036
4304.00,0.8163
4305.00,0.8214
4306.00,0.8329
4307.00,0.8335
4308.00,0.8304
4309.00,0.8355
4310.00,0.8342
4311.00,0.8342
4312.00,0.8291
4313.00,0.8240
4314.00,0.8265
4315.00,0.8232
4316.00,0.8495
4317.00,0.8546
4318.00,0.8508
4319.00,0.8427
4320.00,0.8354
4321.00,0.8304
4322.00,0.8304
4323.00,0.8291
4324.00,0.8112
4325.00,0.7908
4326.00,0.7806
4327.00,0.7832
4328.00,0.7857
4329.00,0.7780
4330.00,0.7615
4331.00,0.7478
4332.00,0.7395
4333.00,0.7226
4334.00,0.7092
4335.00,0.6620
4336.00,0.6071
4337.00,0.5434
4338.00,0.4898
4339.00,0.4592
4340.00,0.4388
4341.00,0.4490
4342.00,0.4820
4343.00,0.5278
4344.00,0.5722
4345.00,0.6113
4346.00,0.6403
4347.00,0.6849
4348.00,0.7194
4349.00,0.7423
4350.00,0.7450
4351.00,0.7372
4352.00,0.7398
4353.00,0.7628
4354.00,0.7883
4355.00,0.8125
4356.00,0.8278
4357.00,0.8437
4358.00,0.8367
4359.00,0.8559
4360.00,0.8699
4361.00,0.8852
4362.00,0.9158
4363.00,0.9235
4364.00,0.9177
4365.00,0.9088
4366.00,0.9027
4367.00,0.8922
4368.00,0.8884
4369.00,0.8852
4370.00,0.8862
4371.00,0.8839
4372.00,0.8772
4373.00,0.8717
4374.00,0.8673
4375.00,0.8699
4376.00,0.8839
4377.00,0.8916
4378.00,0.9019
4379.00,0.9005
4380.00,0.8980
4381.00,0.8827
4382.00,0.8648
4383.00,0.8367
4384.00,0.8061
4385.00,0.8118
4386.00,0.8304
4387.00,0.8436
4388.00,0.8634
4389.00,0.8811
4390.00,0.9107
4391.00,0.9133
4392.00,0.8922
4393.00,0.8673
4394.00,0.8724
4395.00,0.8980
4396.00,0.9133
4397.00,0.9158
4398.00,0.9031
4399.00,0.8857
4400.00,0.8744
4401.00,0.8776
4402.00,0.8788
4403.00,0.8890
4404.00,0.8967
4405.00,0.9015
4406.00,0.8915
4407.00,0.8882
4408.00,0.8862
4409.00,0.8827
4410.00,0.8878
4411.00,0.8878
4412.00,0.8852
4413.00,0.8760
4414.00,0.8641
4415.00,0.8540
4416.00,0.8508
4417.00,0.8673
4418.00,0.8852
4419.00,0.8954
4420.00,0.9062
4421.00,0.8852
4422.00,0.8905
4423.00,0.8944
4424.00,0.8945
4425.00,0.8964
4426.00,0.8996
4427.00,0.9026
4428.00,0.9145
4429.00,0.9107
4430.00,0.9098
4431.00,0.8973
4432.00,0.8913
4433.00,0.8865
4434.00,0.8796
4435.00,0.8827
4436.00,0.8941
4437.00,0.9056
4438.00,0.9082
4439.00,0.9184
4440.00,0.9031
4441.00,0.8721
4442.00,0.8335
4443.00,0.8265
4444.00,0.8616
4445.00,0.8776
4446.00,0.9082
4447.00,0.9031
4448.00,0.8961
4449.00,0.8941
4450.00,0.8890
4451.00,0.8929
4452.00,0.8878
4453.00,0.8871
4454.00,0.8827
4455.00,0.8527
4456.00,0.8520
4457.00,0.8444
4458.00,0.8520
4459.00,0.8648
4460.00,0.8731
4461.00,0.8718
4462.00,0.8724
4463.00,0.8705
4464.00,0.8661
4465.00,0.8546
4466.00,0.8495
4467.00,0.8189
4468.00,0.8240
4469.00,0.8534
4470.00,0.8705
4471.00,0.8820
4472.00,0.8852
4473.00,0.8916
4474.00,0.9082
4475.00,0.9018
4476.00,0.9126
4477.00,0.8980
4478.00,0.8846
4479.00,0.8469
4480.00,0.8233
4481.00,0.8214
4482.00,0.8367
4483.00,0.8667
4484.00,0.8903
4485.00,0.9056
4486.00,0.8941
4487.00,0.8827
4488.00,0.8559
4489.00,0.8469
4490.00,0.8599
4491.00,0.8635
4492.00,0.8776
4493.00,0.8903
4494.00,0.8929
4495.00,0.8957
4496.00,0.8941
4497.00,0.8904
4498.00,0.8827
4499.00,0.8878
4500.00,0.8941
