"wavelength_A","o5","a1","a5","b0","b6","f0","f5","g0","k0","k5","m0","m5"
4123,0.7625,0.7772,0.7997,0.755,0.8029,0.8827,0.8907,0.9136,0.7805,0.4959,0.4736,0.5037
4124,0.7625,0.7957,0.8092,0.7617,0.7991,0.8788,0.8869,0.9136,0.7859,0.4968,0.4676,0.5075
4125,0.7612,0.8041,0.8166,0.7685,0.7916,0.8788,0.8861,0.9153,0.7859,0.4932,0.4661,0.5056
4126,0.7694,0.7808,0.823,0.7677,0.7778,0.8721,0.8706,0.905,0.7673,0.4929,0.4535,0.5069
4127,0.7618,0.7788,0.8262,0.7685,0.7613,0.8673,0.8741,0.896,0.7646,0.4893,0.4522,0.4893
4128,0.7659,0.783,0.827,0.7634,0.756,0.8699,0.8776,0.893,0.7487,0.4811,0.4467,0.4783
4129,0.7666,0.7994,0.8262,0.7558,0.7617,0.8839,0.8895,0.8986,0.7367,0.4614,0.4384,0.4682
4130,0.7652,0.808,0.8245,0.7537,0.7694,0.8801,0.8895,0.8998,0.7128,0.4478,0.4218,0.4644
4131,0.7625,0.8154,0.8245,0.7501,0.7816,0.882,0.8776,0.8874,0.6809,0.4286,0.4038,0.4663
4132,0.7639,0.8251,0.8278,0.7503,0.7908,0.8878,0.8878,0.8784,0.6782,0.4276,0.4023,0.47
4133,0.7665,0.839,0.8356,0.7481,0.8074,0.8836,0.8683,0.8688,0.7159,0.3966,0.4232,0.4672
4134,0.7723,0.8554,0.8477,0.7531,0.8019,0.8954,0.915,0.8874,0.758,0.4082,0.4384,0.4654
4135,0.77,0.8646,0.8675,0.7554,0.8082,0.9107,0.9154,0.8865,0.7793,0.4163,0.4534,0.47
4136,0.7659,0.8545,0.9007,0.7584,0.8172,0.9388,0.9337,0.9062,0.7872,0.4551,0.4804,0.4813
4137,0.7591,0.8478,0.9305,0.7567,0.8249,0.9566,0.9473,0.9237,0.7965,0.4694,0.4924,0.4869
4138,0.7483,0.8697,0.947,0.7567,0.8416,0.9821,0.9609,0.9572,0.8032,0.4796,0.5044,0.4869
4139,0.747,0.9,0.9474,0.7482,0.8429,0.977,0.9609,0.964,0.7871,0.4714,0.4796,0.4794
4140,0.7527,0.9067,0.9325,0.7296,0.8316,0.9651,0.9622,0.9722,0.7453,0.4745,0.4388,0.4693
4141,0.7571,0.8943,0.9276,0.7187,0.8272,0.9401,0.9447,0.9459,0.7088,0.4265,0.4263,0.4719
4142,0.7593,0.8645,0.9189,0.7072,0.823,0.9375,0.9405,0.9324,0.6968,0.4102,0.4143,0.4757
4143,0.7581,0.8545,0.9106,0.7,0.8172,0.9235,0.9252,0.9234,0.7088,0.4041,0.4098,0.4813
4144,0.7587,0.8545,0.9089,0.6923,0.8201,0.9184,0.9235,0.9189,0.7327,0.3755,0.4218,0.4963
4145,0.7577,0.8697,0.9205,0.6805,0.8316,0.9413,0.9269,0.9178,0.7699,0.3898,0.4384,0.5281
4146,0.7567,0.8798,0.9205,0.6818,0.8343,0.9592,0.932,0.9077,0.7859,0.398,0.4534,0.5468
4147,0.7546,0.8977,0.9153,0.7076,0.8215,0.9643,0.9347,0.9386,0.7636,0.4145,0.469,0.5541
4148,0.7551,0.8781,0.8974,0.7203,0.8068,0.9557,0.9303,0.9347,0.758,0.4102,0.4643,0.541
4149,0.7547,0.8865,0.894,0.727,0.8153,0.9574,0.9303,0.9347,0.7527,0.4102,0.4754,0.5513
4150,0.7514,0.8966,0.9007,0.7381,0.8402,0.9566,0.9311,0.924,0.7527,0.3959,0.4787,0.5431
4151,0.7561,0.9016,0.9106,0.7414,0.8546,0.949,0.9277,0.911,0.7473,0.3939,0.4826,0.5468
4152,0.7568,0.8949,0.9172,0.7474,0.851,0.933,0.9243,0.9022,0.7367,0.398,0.4841,0.5243
4153,0.7586,0.8899,0.9123,0.7423,0.8376,0.912,0.9158,0.8894,0.7261,0.3959,0.4883,0.5159
4154,0.7589,0.8958,0.8901,0.735,0.8323,0.899,0.8955,0.8752,0.7149,0.3964,0.4974,0.5246
4155,0.7605,0.8747,0.8808,0.7353,0.8239,0.8903,0.8776,0.866,0.7207,0.3898,0.4999,0.5309
4156,0.7601,0.8747,0.8775,0.7311,0.8196,0.8903,0.8776,0.8671,0.7214,0.4082,0.5119,0.5393
4157,0.7551,0.873,0.8825,0.7296,0.8216,0.9056,0.8971,0.8716,0.7473,0.4184,0.5284,0.5506
4158,0.753,0.8848,0.8907,0.7245,0.8201,0.9056,0.9099,0.8806,0.7686,0.4367,0.5479,0.5581
4159,0.7481,0.8726,0.9007,0.7194,0.8259,0.921,0.9168,0.8874,0.7846,0.449,0.5585,0.5599
4160,0.7469,0.8785,0.9089,0.7228,0.8287,0.9391,0.9226,0.9054,0.794,0.4571,0.5524,0.5534
4161,0.7399,0.8859,0.9111,0.7296,0.8269,0.9529,0.93,0.9382,0.7965,0.461,0.5399,0.544
4162,0.747,0.9012,0.9089,0.7381,0.8249,0.97,0.9349,0.9505,0.812,0.4582,0.5284,0.53
4163,0.7432,0.9025,0.9139,0.7381,0.8239,0.9622,0.9439,0.9628,0.8138,0.4597,0.5134,0.5225
4164,0.7362,0.8966,0.9205,0.7397,0.8182,0.9673,0.9626,0.9685,0.8049,0.4551,0.4924,0.5169
4165,0.7314,0.8966,0.9243,0.733,0.8168,0.9507,0.9677,0.9707,0.7959,0.4464,0.4864,0.515
4166,0.7278,0.9033,0.9296,0.727,0.8005,0.9595,0.9668,0.9651,0.7876,0.4413,0.4789,0.5075
4167,0.7243,0.8949,0.923,0.7186,0.7981,0.949,0.9443,0.9555,0.7753,0.4388,0.4744,0.5094
4168,0.717,0.8963,0.9274,0.7076,0.8236,0.9658,0.9386,0.9402,0.7778,0.4535,0.4952,0.5022
4169,0.7236,0.8698,0.8974,0.7144,0.844,0.9515,0.9226,0.9336,0.7713,0.4643,0.4714,0.5468
4170,0.7226,0.8743,0.8841,0.7093,0.8393,0.9311,0.9116,0.9189,0.7553,0.452,0.4691,0.5318
4171,0.7212,0.8604,0.8543,0.7065,0.8053,0.9082,0.8895,0.8941,0.6968,0.4276,0.4474,0.4869
4172,0.7185,0.8638,0.8278,0.705,0.7914,0.8801,0.8776,0.8716,0.6755,0.4041,0.4414,0.4588
4173,0.7158,0.868,0.8377,0.7076,0.7732,0.8622,0.8622,0.8468,0.6769,0.3837,0.4384,0.4307
4174,0.7172,0.8699,0.8344,0.711,0.7771,0.8546,0.8639,0.8446,0.6955,0.3714,0.4613,0.4478
4175,0.7327,0.8594,0.8752,0.7189,0.796,0.876,0.8679,0.8587,0.7113,0.386,0.4885,0.4845
4176,0.7375,0.8541,0.8377,0.7237,0.7981,0.8827,0.8733,0.8727,0.7176,0.3837,0.5107,0.5084
4177,0.7409,0.8461,0.8543,0.7249,0.7956,0.8954,0.8844,0.8761,0.7251,0.3888,0.5284,0.5281
4178,0.7314,0.8453,0.8576,0.7203,0.7922,0.9018,0.898,0.8846,0.7287,0.3878,0.5344,0.5356
4179,0.728,0.8562,0.8692,0.7177,0.7853,0.9126,0.9167,0.8953,0.7281,0.3946,0.5254,0.5356
4180,0.7321,0.8655,0.8791,0.722,0.7904,0.9254,0.9286,0.8986,0.7287,0.3935,0.4984,0.5056
4181,0.7348,0.8646,0.8891,0.7203,0.7873,0.9324,0.9337,0.894,0.7281,0.399,0.4834,0.4888
4182,0.7351,0.8532,0.8868,0.723,0.7852,0.9152,0.9201,0.8879,0.7311,0.4236,0.4871,0.4896
4183,0.7267,0.8444,0.8974,0.7115,0.7806,0.9094,0.9226,0.8819,0.7367,0.448,0.4939,0.4888
4184,0.7246,0.8545,0.8916,0.7106,0.7839,0.9066,0.9188,0.8761,0.7319,0.4582,0.4871,0.4878
4185,0.7253,0.8613,0.8874,0.7033,0.7919,0.9107,0.9133,0.8833,0.7239,0.4633,0.4654,0.5009
4186,0.7212,0.8579,0.8808,0.7002,0.7971,0.9133,0.9082,0.8741,0.7136,0.4633,0.4624,0.5056
4187,0.7172,0.8209,0.8841,0.693,0.7991,0.9133,0.9022,0.8695,0.7154,0.4663,0.4646,0.5075
4188,0.7172,0.8276,0.8833,0.6923,0.7991,0.9158,0.9014,0.8649,0.7171,0.4582,0.4901,0.5028
4189,0.7165,0.8613,0.8924,0.6933,0.7879,0.9252,0.9068,0.8777,0.7391,0.4558,0.4986,0.4938
4190,0.7118,0.8899,0.9056,0.6983,0.7857,0.9381,0.9294,0.8964,0.7598,0.4536,0.4954,0.4897
4191,0.7037,0.8915,0.9089,0.7,0.7857,0.9475,0.9252,0.9099,0.7686,0.4566,0.4937,0.4906
4192,0.6955,0.8932,0.9073,0.7004,0.7885,0.953,0.9422,0.9144,0.7686,0.4612,0.489,0.5037
4193,0.6888,0.8915,0.9238,0.7025,0.7952,0.968,0.9388,0.9167,0.758,0.4694,0.4832,0.5187
4194,0.6817,0.8922,0.9272,0.6962,0.801,0.9643,0.9375,0.9234,0.7447,0.4694,0.4894,0.5506
4195,0.6783,0.8808,0.9106,0.694,0.806,0.9471,0.9086,0.9133,0.7287,0.4571,0.4804,0.5468
4196,0.6785,0.8684,0.8817,0.6885,0.796,0.9213,0.8857,0.8888,0.6771,0.4185,0.4618,0.5119
4197,0.6752,0.8478,0.8543,0.6923,0.7897,0.8948,0.8588,0.8559,0.6649,0.3806,0.4384,0.4813
4198,0.669,0.8377,0.8576,0.6898,0.7861,0.8878,0.8537,0.8401,0.6463,0.3653,0.4354,0.47
4199,0.6565,0.8394,0.894,0.683,0.7828,0.8954,0.8622,0.8288,0.6543,0.3939,0.4376,0.4729
4200,0.6468,0.8327,0.9007,0.6763,0.7847,0.9018,0.8699,0.8221,0.6649,0.4082,0.4432,0.4606
4201,0.6441,0.8377,0.8916,0.6729,0.7751,0.9031,0.8699,0.8198,0.6742,0.4138,0.4342,0.4409
4202,0.6522,0.8444,0.8841,0.6746,0.7704,0.9088,0.881,0.8288,0.6951,0.4306,0.4474,0.4382
4203,0.6666,0.858,0.8845,0.6766,0.7758,0.922,0.9157,0.8378,0.719,0.4346,0.4724,0.4546
4204,0.684,0.8512,0.8692,0.6792,0.7694,0.9308,0.9286,0.8671,0.743,0.4551,0.4704,0.4644
4205,0.6942,0.868,0.8742,0.6839,0.7684,0.9385,0.9456,0.8829,0.7626,0.4704,0.4691,0.4644
4206,0.7037,0.8831,0.8899,0.6915,0.7727,0.9426,0.9456,0.9122,0.7799,0.4949,0.4699,0.4551
4207,0.7077,0.9016,0.9023,0.694,0.7713,0.9432,0.9549,0.9302,0.7906,0.5143,0.4646,0.4438
4208,0.7091,0.9084,0.9189,0.6839,0.7737,0.9509,0.9607,0.9414,0.7982,0.5265,0.4714,0.4401
4209,0.7074,0.9067,0.9305,0.6873,0.7761,0.9541,0.9667,0.9459,0.7965,0.5263,0.4699,0.427
4210,0.707,0.8991,0.9362,0.6968,0.7791,0.9475,0.9718,0.9354,0.8137,0.513,0.467,0.4102
4211,0.7094,0.8907,0.9288,0.694,0.7812,0.9509,0.9745,0.9426,0.7979,0.4946,0.4564,0.4064
4212,0.7064,0.8836,0.9247,0.6923,0.7814,0.949,0.9719,0.9426,0.7926,0.4796,0.4466,0.3989
4213,0.6942,0.8789,0.9172,0.6805,0.7833,0.9509,0.9728,0.9505,0.7713,0.477,0.4339,0.3858
4214,0.6861,0.8726,0.9123,0.6822,0.7861,0.9496,0.9609,0.9459,0.739,0.4689,0.4128,0.3914
4215,0.6793,0.8629,0.9097,0.6826,0.7885,0.9362,0.9456,0.9291,0.7287,0.4653,0.4001,0.3558
4216,0.6832,0.86,0.9096,0.6877,0.7881,0.927,0.9354,0.9189,0.738,0.4796,0.3933,0.3352
4217,0.6937,0.8452,0.9125,0.6885,0.7892,0.9288,0.9159,0.8993,0.7561,0.521,0.3855,0.3233
4218,0.6999,0.8545,0.9102,0.6919,0.7799,0.9252,0.9099,0.9054,0.7743,0.5786,0.3933,0.309
4219,0.7037,0.8503,0.9048,0.6947,0.7809,0.9268,0.9086,0.9144,0.7713,0.6,0.3573,0.2809
4220,0.7044,0.8545,0.9007,0.7008,0.7881,0.9319,0.9167,0.9279,0.75,0.6204,0.2972,0.2575
4221,0.7075,0.8512,0.8907,0.7008,0.7896,0.9348,0.918,0.9279,0.7287,0.6204,0.2515,0.2266
4222,0.7119,0.8377,0.8767,0.7093,0.7918,0.926,0.9167,0.9155,0.6915,0.6041,0.2094,0.2093
4223,0.7152,0.831,0.8626,0.7101,0.79,0.9139,0.8963,0.8863,0.6436,0.551,0.1741,0.1798
4224,0.7156,0.8404,0.8505,0.7058,0.7899,0.8839,0.8794,0.8695,0.5865,0.4771,0.15,0.1487
4225,0.7043,0.836,0.8311,0.6957,0.7845,0.8463,0.8231,0.8097,0.5426,0.3857,0.1321,0.117
4226,0.7009,0.8478,0.8377,0.689,0.7784,0.8367,0.8163,0.786,0.5585,0.4082,0.1411,0.1161
4227,0.6969,0.8367,0.8609,0.6923,0.7718,0.8457,0.8469,0.7568,0.5957,0.4,0.1668,0.1199
4228,0.6982,0.8489,0.894,0.6852,0.7689,0.8724,0.8673,0.7568,0.6543,0.4327,0.1925,0.1236
4229,0.6962,0.8545,0.904,0.675,0.7646,0.9184,0.9014,0.8018,0.6862,0.4235,0.2148,0.1348
4230,0.6996,0.8596,0.8974,0.6737,0.7626,0.9439,0.9252,0.8367,0.7074,0.4582,0.2431,0.1704
4231,0.7084,0.8556,0.878,0.6837,0.763,0.9266,0.9344,0.9018,0.7278,0.5247,0.2708,0.2067
4232,0.7064,0.8453,0.8444,0.6839,0.7522,0.8929,0.9162,0.9369,0.7128,0.5388,0.3012,0.2257
4233,0.7016,0.8436,0.8338,0.6839,0.7503,0.8801,0.9107,0.9426,0.7101,0.5673,0.3243,0.2444
4234,0.6874,0.8428,0.8473,0.6822,0.7509,0.8817,0.9048,0.8874,0.6915,0.5347,0.3445,0.264
4235,0.6827,0.8478,0.8482,0.6771,0.7576,0.8855,0.8963,0.8682,0.6809,0.5306,0.3633,0.2893
4236,0.6861,0.8579,0.8503,0.6691,0.7678,0.8929,0.8963,0.8468,0.6702,0.5143,0.3888,0.323
4237,0.6918,0.8604,0.851,0.6703,0.7693,0.9011,0.8954,0.8491,0.6782,0.5265,0.3933,0.3333
4238,0.6889,0.8636,0.8556,0.6623,0.763,0.9062,0.8887,0.8498,0.696,0.5371,0.3972,0.3508
4239,0.6847,0.8634,0.8402,0.672,0.7608,0.911,0.8946,0.866,0.7314,0.5704,0.3843,0.327
4240,0.6847,0.8653,0.8477,0.6708,0.7608,0.9177,0.8963,0.8711,0.7447,0.5888,0.3903,0.3326
4241,0.6882,0.8655,0.8725,0.6716,0.7622,0.926,0.9099,0.8851,0.7606,0.6102,0.3993,0.3221
4242,0.6915,0.8705,0.8825,0.6691,0.7649,0.9311,0.9167,0.9003,0.7713,0.6321,0.4151,0.3221
4243,0.7042,0.8747,0.8907,0.6674,0.7739,0.9349,0.9209,0.9155,0.7766,0.6653,0.435,0.3279
4244,0.7077,0.8646,0.8862,0.667,0.7694,0.9206,0.9175,0.9234,0.7686,0.6776,0.4376,0.3474
4245,0.6904,0.849,0.8738,0.6647,0.7522,0.9051,0.9116,0.9119,0.7508,0.6836,0.418,0.3681
4246,0.6962,0.8377,0.859,0.6712,0.7464,0.8833,0.9093,0.9032,0.7262,0.6673,0.4031,0.3801
4247,0.693,0.8222,0.8477,0.6739,0.7426,0.8724,0.9072,0.888,0.7129,0.652,0.3933,0.3811
4248,0.6934,0.8184,0.844,0.682,0.7503,0.8763,0.8997,0.8643,0.7021,0.6247,0.3993,0.3745
4249,0.6934,0.8121,0.8444,0.6879,0.7598,0.8852,0.8929,0.8485,0.6835,0.5972,0.4083,0.3745
4250,0.6959,0.8041,0.8344,0.6805,0.7565,0.8871,0.8793,0.8243,0.6835,0.5449,0.3963,0.3708
4251,0.6955,0.8125,0.8386,0.6754,0.7498,0.8941,0.8895,0.8198,0.6875,0.5184,0.3723,0.3624
4252,0.6932,0.8295,0.8668,0.676,0.7414,0.9083,0.9164,0.8333,0.6828,0.5276,0.3333,0.3461
4253,0.6861,0.8377,0.8791,0.6759,0.734,0.9196,0.9303,0.8429,0.6862,0.5429,0.3303,0.3352
4254,0.6861,0.8396,0.8872,0.6744,0.7369,0.926,0.9311,0.8463,0.6915,0.5429,0.3355,0.3446
4255,0.6928,0.8354,0.8877,0.6737,0.7469,0.9235,0.9243,0.8457,0.7154,0.549,0.3573,0.3577
4256,0.6928,0.8352,0.8934,0.6636,0.7503,0.9298,0.9209,0.8525,0.7181,0.5592,0.3783,0.3708
4257,0.6894,0.8386,0.8853,0.6608,0.7579,0.9158,0.9135,0.8829,0.7128,0.5653,0.4001,0.3783
4258,0.6854,0.8377,0.876,0.6619,0.7558,0.9037,0.905,0.8829,0.6862,0.5551,0.4143,0.3825
4259,0.6865,0.8352,0.8598,0.6605,0.7495,0.8986,0.8931,0.8631,0.6656,0.5354,0.4229,0.367
4260,0.6827,0.8175,0.8642,0.6534,0.7454,0.8929,0.8861,0.8311,0.6755,0.5204,0.4354,0.3691
4261,0.6783,0.8108,0.8725,0.6475,0.744,0.9094,0.8895,0.8514,0.7021,0.5633,0.448,0.3736
4262,0.6719,0.8175,0.8866,0.6449,0.7454,0.9375,0.8971,0.8559,0.7447,0.6,0.4579,0.3848
4263,0.6675,0.8322,0.9007,0.6449,0.7459,0.9528,0.9103,0.8829,0.766,0.6449,0.4721,0.4064
4264,0.6625,0.8461,0.8957,0.6452,0.746,0.9694,0.923,0.9043,0.7926,0.6694,0.4849,0.4251
4265,0.6596,0.8562,0.8924,0.6481,0.7464,0.9617,0.9269,0.9324,0.7766,0.6939,0.4864,0.4307
4266,0.6566,0.8589,0.8738,0.6516,0.7394,0.9482,0.9324,0.9386,0.7583,0.6942,0.4792,0.4234
4267,0.661,0.8545,0.8663,0.661,0.7433,0.9413,0.9221,0.9414,0.7473,0.6939,0.4789,0.4719
4268,0.6627,0.8478,0.8601,0.6627,0.7409,0.9273,0.9154,0.9279,0.7128,0.6531,0.4654,0.4644
4269,0.6617,0.8346,0.8526,0.6555,0.7403,0.9082,0.9099,0.8941,0.6676,0.6092,0.4143,0.4357
4270,0.6631,0.8192,0.8394,0.6509,0.7387,0.8916,0.8912,0.8584,0.6383,0.5474,0.3693,0.4067
4271,0.6654,0.7929,0.8278,0.6437,0.7378,0.875,0.8793,0.8133,0.6117,0.4872,0.3363,0.3739
4272,0.6664,0.7839,0.8295,0.642,0.7412,0.874,0.8741,0.7973,0.6064,0.4653,0.3363,0.3633
4273,0.668,0.7936,0.8276,0.648,0.732,0.8796,0.8651,0.7554,0.6226,0.4211,0.3304,0.3427
4274,0.6653,0.794,0.8361,0.6465,0.7439,0.8701,0.8724,0.7748,0.6679,0.4327,0.3633,0.3446
4275,0.6644,0.799,0.8444,0.648,0.7407,0.8826,0.8856,0.781,0.6958,0.4367,0.3783,0.3446
4276,0.6632,0.8142,0.8651,0.649,0.7436,0.9046,0.9024,0.8316,0.734,0.5,0.4203,0.3701
4277,0.6612,0.8343,0.8791,0.6498,0.744,0.919,0.9171,0.8668,0.7553,0.551,0.4552,0.3984
4278,0.6576,0.8495,0.8874,0.6502,0.7436,0.9243,0.932,0.8998,0.75,0.6224,0.4864,0.4379
4279,0.6563,0.8461,0.8825,0.6513,0.7426,0.9263,0.9307,0.9189,0.738,0.6327,0.4984,0.4625
4280,0.658,0.8442,0.8878,0.6557,0.7374,0.9335,0.9264,0.9145,0.7246,0.6103,0.4624,0.4512
4281,0.6634,0.8293,0.8634,0.6593,0.7349,0.9219,0.9184,0.8964,0.7274,0.5898,0.4624,0.4476
4282,0.668,0.8209,0.8618,0.6602,0.7369,0.9187,0.9124,0.8874,0.7114,0.5847,0.4534,0.4527
4283,0.6727,0.8158,0.8519,0.653,0.742,0.9094,0.9048,0.8885,0.6888,0.5903,0.4684,0.4714
4284,0.676,0.8165,0.846,0.6519,0.7398,0.9048,0.8988,0.8874,0.6755,0.5944,0.4594,0.4757
4285,0.6779,0.8192,0.8393,0.6494,0.7349,0.9065,0.8898,0.8851,0.6809,0.6077,0.4335,0.4831
4286,0.6761,0.8201,0.8309,0.6494,0.733,0.8967,0.8753,0.8795,0.6749,0.5959,0.4102,0.4569
4287,0.6713,0.8087,0.8258,0.6486,0.7333,0.8782,0.8676,0.8679,0.6552,0.5813,0.3646,0.428
4288,0.6694,0.8062,0.8079,0.6492,0.7316,0.8597,0.8231,0.8485,0.6203,0.5528,0.3483,0.3764
4289,0.6651,0.8043,0.7997,0.6496,0.7302,0.8546,0.8299,0.8364,0.617,0.5408,0.3483,0.3558
4290,0.6617,0.799,0.8013,0.6532,0.734,0.8578,0.8367,0.8153,0.6489,0.5102,0.3833,0.367
4291,0.6536,0.799,0.803,0.6515,0.7263,0.8622,0.8537,0.8086,0.6755,0.5061,0.4196,0.397
4292,0.6509,0.8024,0.8179,0.6485,0.7282,0.8691,0.8707,0.8097,0.6968,0.5046,0.4498,0.4232
4293,0.6529,0.8032,0.8295,0.6483,0.7292,0.8763,0.881,0.8207,0.6968,0.5296,0.4864,0.4569
4294,0.658,0.7969,0.829,0.648,0.7347,0.8739,0.886,0.8368,0.6719,0.554,0.4919,0.466
4295,0.6582,0.8015,0.8278,0.6492,0.7349,0.8737,0.8776,0.8333,0.6596,0.5469,0.4984,0.4572
4296,0.6575,0.7931,0.8162,0.6517,0.7316,0.8648,0.8622,0.8221,0.6383,0.5469,0.4804,0.4391
4297,0.6561,0.7738,0.8007,0.6576,0.7273,0.8486,0.841,0.8063,0.5904,0.5235,0.4414,0.4312
4298,0.6543,0.7511,0.7829,0.6636,0.7225,0.831,0.8138,0.7793,0.5638,0.4939,0.4203,0.4314
4299,0.6507,0.751,0.7633,0.6653,0.7194,0.8095,0.7772,0.7432,0.5266,0.4633,0.4187,0.4284
4300,0.6509,0.7462,0.7483,0.6585,0.7137,0.7985,0.7653,0.7027,0.5213,0.4612,0.4235,0.4326
4301,0.6466,0.75,0.7433,0.6426,0.7104,0.7881,0.7715,0.6726,0.5227,0.4239,0.4256,0.4217
4302,0.6495,0.7452,0.75,0.6416,0.7193,0.801,0.7798,0.6712,0.5286,0.452,0.4564,0.427
4303,0.6499,0.7502,0.7583,0.6351,0.7256,0.8036,0.7795,0.6571,0.5286,0.4383,0.4444,0.4307
4304,0.6532,0.7536,0.7748,0.637,0.7321,0.8163,0.7814,0.6695,0.5279,0.4388,0.4173,0.4682
4305,0.6543,0.7536,0.7781,0.6368,0.7359,0.8214,0.7823,0.6802,0.5226,0.4204,0.4023,0.4719
4306,0.6546,0.7418,0.7699,0.6356,0.7359,0.8329,0.7815,0.6824,0.5173,0.3837,0.3783,0.4625
4307,0.6572,0.7418,0.7666,0.6344,0.7321,0.8335,0.7849,0.6734,0.5093,0.3551,0.4083,0.4635
4308,0.6618,0.7382,0.7624,0.6272,0.7286,0.8304,0.781,0.6546,0.4949,0.3421,0.4587,0.4267
4309,0.6677,0.7494,0.7666,0.6276,0.7196,0.8355,0.7925,0.6273,0.5186,0.3347,0.5164,0.4419
4310,0.6664,0.7469,0.7748,0.6221,0.7156,0.8342,0.8129,0.6216,0.5452,0.3531,0.5344,0.4494
4311,0.6671,0.7502,0.7947,0.6221,0.7139,0.8342,0.8435,0.6464,0.5984,0.4184,0.5555,0.4906
4312,0.6583,0.7502,0.7947,0.6196,0.7111,0.8291,0.8503,0.6723,0.6449,0.4653,0.5585,0.5094
4313,0.6539,0.72,0.7831,0.6212,0.7077,0.824,0.8537,0.6948,0.6915,0.5041,0.5645,0.5318
4314,0.6475,0.7099,0.7715,0.6259,0.7052,0.8265,0.8622,0.732,0.738,0.5633,0.5502,0.5318
4315,0.6413,0.7098,0.7619,0.6295,0.7037,0.8232,0.8663,0.7798,0.8077,0.6468,0.5377,0.5039
4316,0.6333,0.7099,0.7759,0.6297,0.7015,0.8495,0.8895,0.8378,0.8404,0.7306,0.5374,0.5019
4317,0.6302,0.7073,0.7759,0.6255,0.7,0.8546,0.8912,0.8761,0.8564,0.7592,0.5434,0.4953
4318,0.6363,0.709,0.7781,0.617,0.6982,0.8508,0.8905,0.9144,0.8404,0.7837,0.5581,0.5117
4319,0.6384,0.7082,0.7765,0.6136,0.697,0.8427,0.8831,0.9189,0.8298,0.7918,0.5682,0.5205
4320,0.6434,0.6956,0.7666,0.6136,0.6904,0.8354,0.881,0.9234,0.8404,0.8082,0.581,0.5318
4321,0.6455,0.6872,0.7532,0.6119,0.6893,0.8304,0.8648,0.9122,0.8032,0.7673,0.5825,0.5379
4322,0.658,0.6728,0.7414,0.6254,0.6929,0.8304,0.8586,0.8923,0.7275,0.7158,0.5617,0.5376
4323,0.6563,0.6661,0.7323,0.6212,0.7,0.8291,0.8335,0.8604,0.6862,0.6486,0.5453,0.5417
4324,0.659,0.6375,0.7185,0.6238,0.6933,0.8112,0.8168,0.8288,0.6915,0.6047,0.5393,0.5365
4325,0.6538,0.6258,0.7003,0.6136,0.6802,0.7908,0.8061,0.7973,0.7101,0.5388,0.5224,0.5243
4326,0.6467,0.6089,0.6871,0.6102,0.6696,0.7806,0.8061,0.7613,0.7394,0.498,0.5344,0.5206
4327,0.6382,0.6022,0.6871,0.6068,0.668,0.7832,0.8168,0.7297,0.7473,0.5265,0.5389,0.5206
4328,0.6373,0.5988,0.6738,0.6026,0.6546,0.7857,0.8503,0.7387,0.7899,0.5959,0.5885,0.5468
4329,0.6408,0.6061,0.6729,0.5962,0.6392,0.778,0.8616,0.7978,0.8212,0.6968,0.6284,0.5866
4330,0.6394,0.582,0.6507,0.5933,0.6188,0.7615,0.8707,0.8243,0.8368,0.7469,0.6485,0.6105
4331,0.6346,0.5633,0.6358,0.584,0.6031,0.7478,0.852,0.8468,0.8497,0.7628,0.6545,0.6086
4332,0.6309,0.5377,0.6093,0.5764,0.5833,0.7395,0.8299,0.8536,0.8537,0.7776,0.6575,0.5969
4333,0.6253,0.5143,0.5828,0.5637,0.566,0.7226,0.8112,0.8514,0.8484,0.8015,0.6575,0.6016
4334,0.6171,0.4887,0.5546,0.5535,0.5397,0.7092,0.7874,0.8581,0.8457,0.8327,0.6575,0.6161
4335,0.6008,0.4559,0.5182,0.5349,0.5005,0.662,0.7449,0.8514,0.8278,0.8327,0.6455,0.6063
4336,0.5818,0.4203,0.4781,0.5163,0.454,0.6071,0.7165,0.8134,0.783,0.8054,0.6078,0.584
4337,0.5521,0.3709,0.4371,0.4841,0.4038,0.5434,0.6505,0.7703,0.7281,0.751,0.5855,0.5641
4338,0.5345,0.3482,0.4123,0.4714,0.3732,0.4898,0.6173,0.7151,0.7128,0.7235,0.5765,0.5618
4339,0.5196,0.323,0.3775,0.4604,0.3598,0.4592,0.585,0.6847,0.7154,0.6857,0.5855,0.5702
4340,0.5142,0.3095,0.3642,0.457,0.3445,0.4388,0.5714,0.6227,0.7314,0.6694,0.5945,0.5843
4341,0.498,0.2961,0.3709,0.4621,0.3407,0.449,0.5442,0.5946,0.7377,0.6449,0.6035,0.5964
4342,0.5129,0.3129,0.4007,0.4654,0.3502,0.482,0.574,0.5845,0.7552,0.6673,0.6065,0.6067
4343,0.5237,0.3503,0.4191,0.4857,0.384,0.5278,0.6421,0.6229,0.7785,0.7094,0.5884,0.6173
4344,0.5467,0.3936,0.4652,0.5111,0.4275,0.5722,0.6939,0.6649,0.8049,0.7378,0.5825,0.6229
4345,0.5622,0.4163,0.4884,0.5214,0.4579,0.6113,0.7347,0.6963,0.8221,0.7689,0.5945,0.6304
4346,0.5765,0.4399,0.5174,0.5248,0.4909,0.6403,0.7653,0.7342,0.8404,0.7878,0.6305,0.6367
4347,0.5873,0.466,0.543,0.5281,0.5187,0.6849,0.7993,0.768,0.8564,0.8041,0.6425,0.6367
