wavelength_A,normalized_intensity
4218.00,0.5786
4219.00,0.6000
4220.00,0.6204
4221.00,0.6204
4222.00,0.6041
4223.00,0.5510
4224.00,0.4771
4225.00,0.3857
4226.00,0.4082
4227.00,0.4000
4228.00,0.4327
4229.00,0.4235
4230.00,0.4582
4231.00,0.5247
4232.00,0.5388
4233.00,0.5673
4234.00,0.5347
4235.00,0.5306
4236.00,0.5143
4237.00,0.5265
4238.00,0.5371
4239.00,0.5704
4240.00,0.5888
4241.00,0.6102
4242.00,0.6321
4243.00,0.6653
4244.00,0.6776
4245.00,0.6836
4246.00,0.6673
4247.00,0.6520
4248.00,0.6247
4249.00,0.5972
4250.00,0.5449
4251.00,0.5184
4252.00,0.5276
4253.00,0.5429
4254.00,0.5429
4255.00,0.5490
4256.00,0.5592
4257.00,0.5653
4258.00,0.5551
4259.00,0.5354
4260.00,0.5204
4261.00,0.5633
4262.00,0.6000
4263.00,0.6449
4264.00,0.6694
4265.00,0.6939
4266.00,0.6942
4267.00,0.6939
4268.00,0.6531
4269.00,0.6092
4270.00,0.5474
4271.00,0.4872
4272.00,0.4653
4273.00,0.4211
4274.00,0.4327
4275.00,0.4367
4276.00,0.5000
4277.00,0.5510
4278.00,0.6224
4279.00,0.6327
4280.00,0.6103
4281.00,0.5898
4282.00,0.5847
4283.00,0.5903
4284.00,0.5944
4285.00,0.6077
4286.00,0.5959
4287.00,0.5813
4288.00,0.5528
4289.00,0.5408
4290.00,0.5102
4291.00,0.5061
4292.00,0.5046
4293.00,0.5296
4294.00,0.5540
4295.00,0.5469
4296.00,0.5469
4297.00,0.5235
4298.00,0.4939
4299.00,0.4633
4300.00,0.4612
4301.00,0.4239
4302.00,0.4520
4303.00,0.4383
4304.00,0.4388
4305.00,0.4204
4306.00,0.3837
4307.00,0.3551
4308.00,0.3421
4309.00,0.3347
4310.00,0.3531
4311.00,0.4184
4312.00,0.4653
4313.00,0.5041
4314.00,0.5633
4315.00,0.6468
4316.00,0.7306
4317.00,0.7592
4318.00,0.7837
4319.00,0.7918
4320.00,0.8082
4321.00,0.7673
4322.00,0.7158
4323.00,0.6486
4324.00,0.6047
4325.00,0.5388
4326.00,0.4980
4327.00,0.5265
4328.00,0.5959
4329.00,0.6968
