wavelength_A,normalized_intensity
4218.00,0.3933
4219.00,0.3573
4220.00,0.2972
4221.00,0.2515
4222.00,0.2094
4223.00,0.1741
4224.00,0.1500
4225.00,0.1321
4226.00,0.1411
4227.00,0.1668
4228.00,0.1925
4229.00,0.2148
4230.00,0.2431
4231.00,0.2708
4232.00,0.3012
4233.00,0.3243
4234.00,0.3445
4235.00,0.3633
4236.00,0.3888
4237.00,0.3933
4238.00,0.3972
4239.00,0.3843
4240.00,0.3903
4241.00,0.3993
4242.00,0.4151
4243.00,0.4350
4244.00,0.4376
4245.00,0.4180
4246.00,0.4031
4247.00,0.3933
4248.00,0.3993
4249.00,0.4083
4250.00,0.3963
4251.00,0.3723
4252.00,0.3333
4253.00,0.3303
4254.00,0.3355
4255.00,0.3573
4256.00,0.3783
4257.00,0.4001
4258.00,0.4143
4259.00,0.4229
4260.00,0.4354
4261.00,0.4480
4262.00,0.4579
4263.00,0.4721
4264.00,0.4849
4265.00,0.4864
4266.00,0.4792
4267.00,0.4789
4268.00,0.4654
4269.00,0.4143
4270.00,0.3693
4271.00,0.3363
4272.00,0.3363
4273.00,0.3304
4274.00,0.3633
4275.00,0.3783
4276.00,0.4203
4277.00,0.4552
4278.00,0.4864
4279.00,0.4984
4280.00,0.4624
4281.00,0.4624
4282.00,0.4534
4283.00,0.4684
4284.00,0.4594
4285.00,0.4335
4286.00,0.4102
4287.00,0.3646
4288.00,0.3483
4289.00,0.3483
4290.00,0.3833
4291.00,0.4196
4292.00,0.4498
4293.00,0.4864
4294.00,0.4919
4295.00,0.4984
4296.00,0.4804
4297.00,0.4414
4298.00,0.4203
4299.00,0.4187
4300.00,0.4235
4301.00,0.4256
4302.00,0.4564
4303.00,0.4444
4304.00,0.4173
4305.00,0.4023
4306.00,0.3783
4307.00,0.4083
4308.00,0.4587
4309.00,0.5164
4310.00,0.5344
4311.00,0.5555
4312.00,0.5585
4313.00,0.5645
4314.00,0.5502
4315.00,0.5377
4316.00,0.5374
4317.00,0.5434
4318.00,0.5581
4319.00,0.5682
4320.00,0.5810
4321.00,0.5825
4322.00,0.5617
4323.00,0.5453
4324.00,0.5393
4325.00,0.5224
4326.00,0.5344
4327.00,0.5389
4328.00,0.5885
4329.00,0.6284
4330.00,0.6485
4331.00,0.6545
4332.00,0.6575
4333.00,0.6575
4334.00,0.6575
4335.00,0.6455
4336.00,0.6078
4337.00,0.5855
4338.00,0.5765
4339.00,0.5855
4340.00,0.5945
4341.00,0.6035
4342.00,0.6065
4343.00,0.5884
4344.00,0.5825
4345.00,0.5945
4346.00,0.6305
4347.00,0.6425
4348.00,0.6305
4349.00,0.6080
4350.00,0.5841
4351.00,0.5269
4352.00,0.5224
4353.00,0.5434
4354.00,0.5690
4355.00,0.5862
4356.00,0.5975
4357.00,0.6210
4358.00,0.6125
4359.00,0.6185
4360.00,0.6144
4361.00,0.6335
4362.00,0.6403
4363.00,0.6478
4364.00,0.6463
4365.00,0.6313
4366.00,0.6380
4367.00,0.6575
4368.00,0.6635
4369.00,0.6673
4370.00,0.6654
4371.00,0.6529
4372.00,0.6504
4373.00,0.6380
4374.00,0.6185
4375.00,0.6185
4376.00,0.6365
4377.00,0.6275
4378.00,0.6092
4379.00,0.5765
4380.00,0.5540
4381.00,0.5224
4382.00,0.5014
4383.00,0.5044
4384.00,0.5044
4385.00,0.5711
4386.00,0.5915
4387.00,0.6185
4388.00,0.6260
4389.00,0.6455
4390.00,0.6891
4391.00,0.6966
4392.00,0.6889
4393.00,0.6545
4394.00,0.6876
4395.00,0.6936
4396.00,0.7206
4397.00,0.7236
4398.00,0.7266
4399.00,0.7293
4400.00,0.6966
4401.00,0.6846
4402.00,0.6185
4403.00,0.5885
4404.00,0.5585
4405.00,0.5645
4406.00,0.5828
4407.00,0.6178
4408.00,0.6380
4409.00,0.6635
4410.00,0.6786
4411.00,0.6786
4412.00,0.6966
4413.00,0.6577
4414.00,0.6786
4415.00,0.6816
4416.00,0.7356
4417.00,0.7596
4418.00,0.7746
4419.00,0.7626
4420.00,0.7697
4421.00,0.7116
4422.00,0.6996
4423.00,0.6906
4424.00,0.6695
4425.00,0.6485
4426.00,0.6335
4427.00,0.6976
4428.00,0.7266
4429.00,0.7506
4430.00,0.7416
4431.00,0.7116
4432.00,0.6605
4433.00,0.6695
4434.00,0.6068
4435.00,0.6786
4436.00,0.6816
4437.00,0.7476
4438.00,0.7926
4439.00,0.8107
4440.00,0.8047
4441.00,0.7902
4442.00,0.7926
4443.00,0.7964
4444.00,0.8174
4445.00,0.8242
4446.00,0.8137
4447.00,0.8047
4448.00,0.8030
4449.00,0.7926
4450.00,0.7506
4451.00,0.7086
4452.00,0.6365
4453.00,0.5885
4454.00,0.5735
4455.00,0.6037
4456.00,0.6245
4457.00,0.6395
4458.00,0.6485
4459.00,0.6725
4460.00,0.6906
4461.00,0.7086
4462.00,0.7895
4463.00,0.8167
4464.00,0.8457
4465.00,0.8446
4466.00,0.8514
4467.00,0.8553
4468.00,0.8827
4469.00,0.8968
4470.00,0.9248
4471.00,0.9157
4472.00,0.9248
4473.00,0.9067
4474.00,0.9278
4475.00,0.9578
4476.00,0.9538
4477.00,0.9353
4478.00,0.9353
4479.00,0.9097
4480.00,0.9308
4481.00,0.9428
4482.00,0.9488
4483.00,0.9403
4484.00,0.9338
4485.00,0.9285
4486.00,0.9022
4487.00,0.8872
4488.00,0.8887
4489.00,0.8887
4490.00,0.9342
4491.00,0.9127
4492.00,0.9187
4493.00,0.9127
4494.00,0.9067
4495.00,0.8887
4496.00,0.9007
4497.00,0.9626
4498.00,0.9758
4499.00,0.9976
4500.00,1.0000
