wavelength_A,normalized_intensity
3900.00,0.2176
3901.00,0.2176
3902.00,0.2227
3903.00,0.2252
3904.00,0.2271
3905.00,0.2364
3906.00,0.2518
3907.00,0.2677
3908.00,0.2827
3909.00,0.2954
3910.00,0.3088
3911.00,0.3244
3912.00,0.3225
3913.00,0.3149
3914.00,0.2915
3915.00,0.2742
3916.00,0.2558
3917.00,0.2378
3918.00,0.2172
3919.00,0.2023
3920.00,0.1927
3921.00,0.1985
3922.00,0.2042
3923.00,0.1967
3924.00,0.1918
3925.00,0.1765
3926.00,0.1617
3927.00,0.1455
3928.00,0.1331
3929.00,0.1226
3930.00,0.1140
3931.00,0.1102
3932.00,0.1097
3933.00,0.1116
3934.00,0.1135
3935.00,0.1221
3936.00,0.1319
3937.00,0.1468
3938.00,0.1656
3939.00,0.1775
3940.00,0.1756
3941.00,0.1698
3942.00,0.1679
3943.00,0.1823
3944.00,0.2005
3945.00,0.2233
3946.00,0.2419
3947.00,0.2575
3948.00,0.2760
3949.00,0.2882
3950.00,0.2939
3951.00,0.2980
3952.00,0.2901
3953.00,0.2796
3954.00,0.2672
3955.00,0.2490
3956.00,0.2289
3957.00,0.2063
3958.00,0.1841
3959.00,0.1670
3960.00,0.1517
3961.00,0.1422
3962.00,0.1403
3963.00,0.1393
3964.00,0.1343
3965.00,0.1299
3966.00,0.1226
3967.00,0.1164
3968.00,0.1221
3969.00,0.1412
3970.00,0.1660
3971.00,0.1908
3972.00,0.2111
3973.00,0.2413
3974.00,0.2672
3975.00,0.2939
3976.00,0.3168
3977.00,0.3359
3978.00,0.3445
3979.00,0.3529
3980.00,0.3593
3981.00,0.3717
3982.00,0.3779
3983.00,0.3855
3984.00,0.3950
3985.00,0.4097
3986.00,0.4159
3987.00,0.4206
3988.00,0.4227
3989.00,0.4256
3990.00,0.4389
3991.00,0.4427
3992.00,0.4410
3993.00,0.4333
3994.00,0.4235
3995.00,0.4103
3996.00,0.4170
3997.00,0.4275
3998.00,0.4513
3999.00,0.4704
4000.00,0.4805
4001.00,0.4733
4002.00,0.4466
4003.00,0.4237
4004.00,0.4198
4005.00,0.4466
4006.00,0.4618
4007.00,0.4811
4008.00,0.4885
4009.00,0.4998
4010.00,0.5086
4011.00,0.5143
4012.00,0.5134
4013.00,0.5098
4014.00,0.5081
4015.00,0.5033
4016.00,0.5019
4017.00,0.5045
4018.00,0.5111
4019.00,0.5177
4020.00,0.5198
4021.00,0.5199
4022.00,0.5212
4023.00,0.5260
4024.00,0.5179
4025.00,0.5291
4026.00,0.5191
4027.00,0.5027
4028.00,0.4544
4029.00,0.4097
4030.00,0.3473
4031.00,0.3359
4032.00,0.3588
4033.00,0.4090
