"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4401,0.6065,0.68,0.8612,0.7101,0.6527
4402,0.6074,0.637,0.8506,0.7219,0.5954
4403,0.6034,0.588,0.8385,0.7322,0.5573
4404,0.6015,0.5297,0.8229,0.7382,0.5344
4405,0.5981,0.5199,0.8168,0.7411,0.5954
4406,0.5963,0.5208,0.835,0.7475,0.6047
4407,0.5952,0.5641,0.8487,0.7456,0.6985
4408,0.5941,0.5972,0.873,0.7382,0.7405
4409,0.5927,0.6646,0.9018,0.7152,0.7786
4410,0.5921,0.7198,0.9231,0.7034,0.7786
4411,0.592,0.775,0.9383,0.6916,0.8015
4412,0.5903,0.7627,0.9261,0.684,0.7939
4413,0.5846,0.7112,0.9252,0.685,0.7069
4414,0.5808,0.6551,0.8867,0.6816,0.7328
4415,0.5804,0.6376,0.8988,0.6805,0.7271
4416,0.5865,0.7014,0.9094,0.6805,0.7586
4417,0.587,0.7327,0.9277,0.6864,0.8025
4418,0.5856,0.794,0.9519,0.6849,0.855
4419,0.576,0.8142,0.9626,0.6864,0.8616
4420,0.5769,0.8184,0.9808,0.6905,0.8182
4421,0.5694,0.7788,0.9656,0.6997,0.7948
4422,0.5689,0.7679,0.9504,0.7041,0.7767
4423,0.5668,0.7382,0.9352,0.7071,0.7519
4424,0.5651,0.7039,0.9231,0.7071,0.7347
4425,0.5648,0.6622,0.9337,0.7115,0.7023
4426,0.5636,0.6475,0.939,0.7132,0.7176
4427,0.5659,0.6684,0.9474,0.7242,0.7541
4428,0.5632,0.7308,0.9535,0.7178,0.8034
4429,0.5613,0.7406,0.958,0.7149,0.8168
4430,0.5551,0.7456,0.9489,0.7101,0.7786
4431,0.5485,0.7456,0.9421,0.7049,0.7557
4432,0.5542,0.7505,0.9317,0.7086,0.7176
4433,0.5618,0.721,0.9217,0.7093,0.6794
4434,0.5719,0.6427,0.9085,0.7089,0.6852
4435,0.5741,0.6475,0.8973,0.7086,0.6947
4436,0.5751,0.6573,0.8973,0.7008,0.7672
4437,0.5741,0.7406,0.9163,0.6938,0.8015
4438,0.5751,0.8191,0.933,0.6849,0.8244
4439,0.5779,0.8731,0.9474,0.682,0.8273
4440,0.577,0.8731,0.9493,0.682,0.8006
4441,0.5813,0.8142,0.9291,0.6847,0.7905
4442,0.5783,0.7848,0.9256,0.6801,0.7996
4443,0.581,0.7946,0.9208,0.6871,0.8211
4444,0.5808,0.8387,0.9235,0.7089,0.8411
4445,0.5765,0.878,0.9321,0.7219,0.8588
4446,0.5699,0.8878,0.9402,0.7148,0.8664
4447,0.5692,0.8829,0.9489,0.7157,0.8655
4448,0.5753,0.8801,0.9521,0.7057,0.8528
4449,0.576,0.8706,0.9413,0.7041,0.8511
4450,0.5788,0.8682,0.9428,0.7012,0.8015
4451,0.5827,0.8142,0.9444,0.7041,0.7328
4452,0.5852,0.7652,0.9352,0.6997,0.6794
4453,0.5857,0.6769,0.9094,0.6908,0.6565
4454,0.5851,0.6376,0.8897,0.6805,0.6412
4455,0.5843,0.5884,0.8534,0.6914,0.6451
4456,0.5817,0.5984,0.8646,0.6908,0.6603
4457,0.5751,0.5972,0.8608,0.6886,0.6738
4458,0.576,0.6315,0.8676,0.6849,0.6836
4459,0.576,0.6554,0.8738,0.6842,0.6932
4460,0.5856,0.6622,0.8825,0.6967,0.7099
4461,0.5798,0.6965,0.8927,0.6953,0.7443
4462,0.5816,0.745,0.9026,0.682,0.7793
4463,0.5751,0.8142,0.9181,0.6783,0.8321
4464,0.5744,0.8338,0.9212,0.6775,0.8473
4465,0.5696,0.8357,0.9197,0.6842,0.854
4466,0.5673,0.8449,0.9246,0.6805,0.8564
4467,0.5537,0.8663,0.9337,0.6746,0.8764
4468,0.5392,0.8804,0.9413,0.6731,0.8838
4469,0.5231,0.8964,0.9457,0.6872,0.8991
4470,0.5228,0.9246,0.9527,0.693,0.9167
4471,0.5209,0.9344,0.9614,0.6942,0.9251
4472,0.5238,0.9418,0.9709,0.6801,0.926
4473,0.5347,0.9411,0.9816,0.6783,0.9313
4474,0.5394,0.9497,0.9929,0.6783,0.9408
4475,0.5437,0.9454,0.999,0.6857,0.9246
4476,0.5539,0.9593,1,0.703,0.9485
4477,0.5551,0.9834,0.9793,0.7012,0.916
4478,0.5582,0.9565,0.9717,0.6967,0.9084
4479,0.5563,0.927,0.9595,0.6701,0.8855
4480,0.5555,0.878,0.9413,0.6538,0.855
4481,0.5589,0.8437,0.9277,0.645,0.8702
4482,0.5569,0.8437,0.9284,0.642,0.8874
4483,0.5615,0.897,0.9265,0.6486,0.9262
4484,0.5599,0.9663,0.9352,0.6923,0.9647
4485,0.5608,0.9712,0.9436,0.6997,0.9847
4486,0.5551,0.9614,0.9535,0.6746,0.9695
4487,0.5542,0.9418,0.9717,0.6701,0.916
4488,0.5523,0.9295,0.9535,0.6524,0.8969
4489,0.555,0.9172,0.9322,0.659,0.8817
4490,0.5565,0.9115,0.9329,0.679,0.9018
4491,0.5623,0.927,0.9535,0.6927,0.8931
4492,0.5646,0.9172,0.9565,0.696,0.8931
4493,0.562,0.8976,0.9292,0.6864,0.8626
4494,0.5654,0.8633,0.9322,0.6827,0.855
4495,0.5706,0.8633,0.9436,0.679,0.8511
4496,0.5694,0.8878,0.9481,0.6775,0.8936
4497,0.5646,0.916,0.9564,0.6909,0.9292
4498,0.5532,0.9687,0.9527,0.6938,0.9642
4499,0.5526,0.9859,0.9573,0.6953,0.9885
4500,0.5582,1,0.9535,0.6923,1
