"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4015,0.8622,0.3841,0.8219,0.9284,0.5033
4016,0.865,0.3817,0.8134,0.9502,0.5019
4017,0.8669,0.3783,0.8115,0.9645,0.5045
4018,0.8574,0.3783,0.8161,0.9645,0.5111
4019,0.841,0.3789,0.8206,0.9578,0.5177
4020,0.822,0.3807,0.8274,0.9445,0.5198
4021,0.8027,0.3816,0.8269,0.9342,0.5199
4022,0.7795,0.378,0.832,0.9223,0.5212
4023,0.75,0.3753,0.829,0.9216,0.526
4024,0.7338,0.3729,0.835,0.9327,0.5179
4025,0.7338,0.3707,0.8479,0.9482,0.5291
4026,0.7476,0.3602,0.8555,0.9667,0.5191
4027,0.7681,0.363,0.8563,0.966,0.5027
4028,0.7883,0.3418,0.8521,0.9447,0.4544
4029,0.807,0.3164,0.8259,0.9194,0.4097
4030,0.8213,0.2771,0.8016,0.9024,0.3473
4031,0.827,0.2551,0.7865,0.9231,0.3359
4032,0.8327,0.2502,0.7834,0.9349,0.3588
4033,0.832,0.2551,0.7834,0.9401,0.409
4034,0.8327,0.29,0.7956,0.9286,0.4586
4035,0.8335,0.325,0.8115,0.9242,0.4972
4036,0.8332,0.3685,0.8335,0.926,0.5267
4037,0.8325,0.4022,0.8578,0.9305,0.5344
4038,0.8334,0.4169,0.8715,0.9482,0.5153
4039,0.8335,0.4169,0.8745,0.9423,0.5095
4040,0.8317,0.3973,0.8624,0.932,0.4771
4041,0.8298,0.3703,0.8472,0.9098,0.4485
4042,0.8321,0.3529,0.8222,0.9069,0.3975
4043,0.8322,0.3139,0.7773,0.9068,0.3645
4044,0.8301,0.2918,0.7439,0.9074,0.3435
4045,0.828,0.2796,0.7166,0.9083,0.3588
4046,0.8265,0.2943,0.7409,0.9157,0.3989
4047,0.8254,0.325,0.7743,0.9253,0.4637
4048,0.8289,0.3593,0.8199,0.9275,0.5115
4049,0.8314,0.3971,0.8509,0.9314,0.5556
4050,0.8422,0.4267,0.8684,0.9186,0.5611
4051,0.8536,0.4341,0.8684,0.9157,0.5458
4052,0.846,0.4292,0.8639,0.9024,0.5248
4053,0.8308,0.4224,0.8328,0.895,0.5095
4054,0.8213,0.4126,0.7994,0.8916,0.4962
4055,0.8213,0.4007,0.7773,0.8924,0.4914
4056,0.8211,0.3914,0.7761,0.8922,0.4793
4057,0.8195,0.3878,0.7743,0.8914,0.4885
4058,0.81,0.3889,0.794,0.8935,0.4733
4059,0.8085,0.3801,0.8016,0.899,0.4556
4060,0.807,0.3654,0.8016,0.9013,0.4256
4061,0.8108,0.3556,0.7865,0.8937,0.4117
4062,0.8004,0.3384,0.7743,0.8852,0.4065
4063,0.7983,0.3124,0.7491,0.8717,0.4041
4064,0.7928,0.3262,0.7713,0.8876,0.4256
4065,0.7947,0.347,0.7796,0.8905,0.443
4066,0.7909,0.3654,0.788,0.8809,0.4524
4067,0.7814,0.385,0.7963,0.858,0.4599
4068,0.7752,0.3875,0.8047,0.8413,0.4561
4069,0.7726,0.3801,0.8077,0.8225,0.4523
4070,0.7689,0.3663,0.7889,0.8259,0.4495
4071,0.7723,0.3679,0.7925,0.8314,0.459
4072,0.7754,0.3801,0.8032,0.8402,0.4885
4073,0.7785,0.385,0.8107,0.8328,0.5
4074,0.7804,0.3948,0.8062,0.8151,0.4809
4075,0.7799,0.3887,0.8016,0.8049,0.479
4076,0.7837,0.385,0.8016,0.7953,0.4885
4077,0.7896,0.3838,0.7782,0.7786,0.5047
4078,0.7966,0.3982,0.8047,0.7782,0.542
4079,0.7985,0.4258,0.8199,0.7782,0.584
4080,0.7954,0.4439,0.8563,0.7707,0.6011
4081,0.7906,0.4525,0.8624,0.7596,0.5992
4082,0.7856,0.4605,0.8593,0.7411,0.5973
4083,0.7814,0.4672,0.835,0.7289,0.6135
4084,0.7783,0.4767,0.8295,0.7118,0.6419
4085,0.7757,0.4948,0.835,0.7016,0.6641
