wavelength_A,normalized_intensity
4218.00,0.9102
4219.00,0.9048
4220.00,0.9007
4221.00,0.8907
4222.00,0.8767
4223.00,0.8626
4224.00,0.8505
4225.00,0.8311
4226.00,0.8377
4227.00,0.8609
4228.00,0.8940
4229.00,0.9040
4230.00,0.8974
4231.00,0.8780
4232.00,0.8444
4233.00,0.8338
4234.00,0.8473
4235.00,0.8482
4236.00,0.8503
4237.00,0.8510
4238.00,0.8556
4239.00,0.8402
4240.00,0.8477
4241.00,0.8725
4242.00,0.8825
4243.00,0.8907
4244.00,0.8862
4245.00,0.8738
4246.00,0.8590
4247.00,0.8477
4248.00,0.8440
4249.00,0.8444
4250.00,0.8344
4251.00,0.8386
4252.00,0.8668
4253.00,0.8791
4254.00,0.8872
4255.00,0.8877
4256.00,0.8934
4257.00,0.8853
4258.00,0.8760
4259.00,0.8598
4260.00,0.8642
4261.00,0.8725
4262.00,0.8866
4263.00,0.9007
4264.00,0.8957
4265.00,0.8924
4266.00,0.8738
4267.00,0.8663
4268.00,0.8601
4269.00,0.8526
4270.00,0.8394
4271.00,0.8278
4272.00,0.8295
4273.00,0.8276
4274.00,0.8361
4275.00,0.8444
4276.00,0.8651
4277.00,0.8791
4278.00,0.8874
4279.00,0.8825
4280.00,0.8878
4281.00,0.8634
4282.00,0.8618
4283.00,0.8519
4284.00,0.8460
4285.00,0.8393
4286.00,0.8309
4287.00,0.8258
4288.00,0.8079
4289.00,0.7997
4290.00,0.8013
4291.00,0.8030
4292.00,0.8179
4293.00,0.8295
4294.00,0.8290
4295.00,0.8278
4296.00,0.8162
4297.00,0.8007
4298.00,0.7829
4299.00,0.7633
4300.00,0.7483
4301.00,0.7433
4302.00,0.7500
4303.00,0.7583
4304.00,0.7748
4305.00,0.7781
4306.00,0.7699
4307.00,0.7666
4308.00,0.7624
4309.00,0.7666
4310.00,0.7748
4311.00,0.7947
4312.00,0.7947
4313.00,0.7831
4314.00,0.7715
4315.00,0.7619
4316.00,0.7759
4317.00,0.7759
4318.00,0.7781
4319.00,0.7765
4320.00,0.7666
4321.00,0.7532
4322.00,0.7414
4323.00,0.7323
4324.00,0.7185
4325.00,0.7003
4326.00,0.6871
4327.00,0.6871
4328.00,0.6738
4329.00,0.6729
4330.00,0.6507
4331.00,0.6358
4332.00,0.6093
4333.00,0.5828
4334.00,0.5546
4335.00,0.5182
4336.00,0.4781
4337.00,0.4371
4338.00,0.4123
4339.00,0.3775
4340.00,0.3642
4341.00,0.3709
4342.00,0.4007
4343.00,0.4191
4344.00,0.4652
4345.00,0.4884
4346.00,0.5174
4347.00,0.5430
4348.00,0.5762
4349.00,0.5977
4350.00,0.6133
4351.00,0.6209
4352.00,0.6333
4353.00,0.6507
4354.00,0.6730
4355.00,0.7003
4356.00,0.7202
4357.00,0.7391
4358.00,0.7392
4359.00,0.7577
4360.00,0.7682
4361.00,0.7947
4362.00,0.7947
4363.00,0.7972
4364.00,0.8137
4365.00,0.8096
4366.00,0.8096
4367.00,0.8030
4368.00,0.8079
4369.00,0.8129
4370.00,0.8220
4371.00,0.8356
4372.00,0.8444
4373.00,0.8411
4374.00,0.8212
4375.00,0.8179
4376.00,0.8195
4377.00,0.8200
4378.00,0.8337
4379.00,0.8286
4380.00,0.8303
4381.00,0.8228
4382.00,0.8030
4383.00,0.7748
4384.00,0.7649
4385.00,0.7713
4386.00,0.7901
4387.00,0.7947
4388.00,0.8079
4389.00,0.8146
4390.00,0.8262
4391.00,0.8274
4392.00,0.8193
4393.00,0.8063
4394.00,0.8212
4395.00,0.8311
4396.00,0.8477
4397.00,0.8510
4398.00,0.8526
4399.00,0.8374
4400.00,0.8228
4401.00,0.8204
4402.00,0.8212
4403.00,0.8245
4404.00,0.8411
4405.00,0.8510
4406.00,0.8509
4407.00,0.8543
4408.00,0.8411
4409.00,0.8377
4410.00,0.8427
4411.00,0.8411
4412.00,0.8320
4413.00,0.8244
4414.00,0.8096
4415.00,0.8104
4416.00,0.8088
4417.00,0.8204
4418.00,0.8195
4419.00,0.8311
4420.00,0.8356
4421.00,0.8295
4422.00,0.8179
4423.00,0.8076
4424.00,0.8062
4425.00,0.7998
4426.00,0.8046
4427.00,0.8016
4428.00,0.8195
4429.00,0.8162
4430.00,0.8046
4431.00,0.8046
4432.00,0.8049
4433.00,0.8138
4434.00,0.8137
4435.00,0.8212
4436.00,0.8228
4437.00,0.8411
4438.00,0.8411
4439.00,0.8427
4440.00,0.8237
4441.00,0.7992
4442.00,0.7624
4443.00,0.7562
4444.00,0.7914
4445.00,0.8042
4446.00,0.8113
4447.00,0.8195
4448.00,0.8071
4449.00,0.8102
4450.00,0.8040
4451.00,0.8063
4452.00,0.7980
4453.00,0.7973
4454.00,0.7930
4455.00,0.7894
4456.00,0.7860
4457.00,0.7844
4458.00,0.7831
4459.00,0.7864
4460.00,0.7798
4461.00,0.7802
4462.00,0.7941
4463.00,0.8026
4464.00,0.8030
4465.00,0.7908
4466.00,0.7825
4467.00,0.7642
4468.00,0.7568
4469.00,0.7834
4470.00,0.7965
4471.00,0.8013
4472.00,0.8046
4473.00,0.7947
4474.00,0.8038
4475.00,0.8063
4476.00,0.8132
4477.00,0.8079
4478.00,0.8013
4479.00,0.7699
4480.00,0.7334
4481.00,0.7550
4482.00,0.7715
4483.00,0.7806
4484.00,0.7786
4485.00,0.7885
4486.00,0.7885
4487.00,0.7984
4488.00,0.7914
4489.00,0.7856
4490.00,0.7852
4491.00,0.7798
4492.00,0.7881
4493.00,0.8046
4494.00,0.8079
4495.00,0.7980
4496.00,0.8013
4497.00,0.8067
4498.00,0.8121
4499.00,0.8079
4500.00,0.8146
