wavelength_A,normalized_intensity
3900.00,0.7219
3901.00,0.7604
3902.00,0.7871
3903.00,0.7988
3904.00,0.8051
3905.00,0.8203
3906.00,0.8369
3907.00,0.8526
3908.00,0.8674
3909.00,0.8831
3910.00,0.8903
3911.00,0.8973
3912.00,0.9020
3913.00,0.9118
3914.00,0.9142
3915.00,0.9290
3916.00,0.9432
3917.00,0.9408
3918.00,0.9201
3919.00,0.9231
3920.00,0.9497
3921.00,0.9763
3922.00,1.0000
3923.00,0.9942
3924.00,0.9837
3925.00,0.9497
3926.00,0.9290
3927.00,0.9223
3928.00,0.9124
3929.00,0.8983
3930.00,0.8751
3931.00,0.8380
3932.00,0.8107
3933.00,0.8225
3934.00,0.8609
3935.00,0.8876
3936.00,0.8883
3937.00,0.8876
3938.00,0.8913
3939.00,0.8950
3940.00,0.9142
3941.00,0.9305
3942.00,0.9393
3943.00,0.9349
3944.00,0.9247
3945.00,0.9053
3946.00,0.8698
3947.00,0.8462
3948.00,0.8136
3949.00,0.8033
3950.00,0.7973
3951.00,0.7871
3952.00,0.7650
3953.00,0.7441
3954.00,0.7256
3955.00,0.7108
3956.00,0.6960
3957.00,0.6834
3958.00,0.6599
3959.00,0.6243
3960.00,0.5821
3961.00,0.5370
3962.00,0.4889
3963.00,0.4460
3964.00,0.4038
3965.00,0.3686
3966.00,0.3373
3967.00,0.3033
3968.00,0.2840
3969.00,0.2840
3970.00,0.3121
3971.00,0.3425
3972.00,0.3717
3973.00,0.4083
3974.00,0.4467
3975.00,0.4808
3976.00,0.5133
3977.00,0.5325
3978.00,0.5636
3979.00,0.5998
3980.00,0.6331
3981.00,0.6575
3982.00,0.6783
3983.00,0.7027
3984.00,0.7263
3985.00,0.7530
3986.00,0.7760
3987.00,0.7862
3988.00,0.7929
3989.00,0.8077
3990.00,0.8417
3991.00,0.8609
3992.00,0.8757
3993.00,0.8862
3994.00,0.8809
3995.00,0.8536
3996.00,0.8580
3997.00,0.8787
3998.00,0.9038
3999.00,0.9083
4000.00,0.9125
4001.00,0.9166
4002.00,0.9223
4003.00,0.9238
4004.00,0.9268
4005.00,0.9370
4006.00,0.9510
4007.00,0.9598
4008.00,0.9556
4009.00,0.9541
4010.00,0.9541
4011.00,0.9549
4012.00,0.9556
4013.00,0.9349
4014.00,0.9195
4015.00,0.9284
4016.00,0.9502
4017.00,0.9645
4018.00,0.9645
4019.00,0.9578
4020.00,0.9445
4021.00,0.9342
4022.00,0.9223
4023.00,0.9216
4024.00,0.9327
4025.00,0.9482
4026.00,0.9667
4027.00,0.9660
4028.00,0.9447
4029.00,0.9194
4030.00,0.9024
4031.00,0.9231
4032.00,0.9349
4033.00,0.9401
4034.00,0.9286
4035.00,0.9242
4036.00,0.9260
4037.00,0.9305
4038.00,0.9482
4039.00,0.9423
4040.00,0.9320
4041.00,0.9098
4042.00,0.9069
4043.00,0.9068
4044.00,0.9074
4045.00,0.9083
4046.00,0.9157
4047.00,0.9253
4048.00,0.9275
4049.00,0.9314
4050.00,0.9186
4051.00,0.9157
4052.00,0.9024
4053.00,0.8950
4054.00,0.8916
4055.00,0.8924
4056.00,0.8922
4057.00,0.8914
4058.00,0.8935
4059.00,0.8990
4060.00,0.9013
4061.00,0.8937
4062.00,0.8852
4063.00,0.8717
4064.00,0.8876
4065.00,0.8905
4066.00,0.8809
4067.00,0.8580
4068.00,0.8413
4069.00,0.8225
4070.00,0.8259
4071.00,0.8314
4072.00,0.8402
4073.00,0.8328
4074.00,0.8151
4075.00,0.8049
4076.00,0.7953
4077.00,0.7786
4078.00,0.7782
4079.00,0.7782
4080.00,0.7707
4081.00,0.7596
4082.00,0.7411
4083.00,0.7289
4084.00,0.7118
4085.00,0.7016
4086.00,0.6955
4087.00,0.6834
4088.00,0.6701
4089.00,0.6383
4090.00,0.6102
4091.00,0.5796
4092.00,0.5459
4093.00,0.5074
4094.00,0.4703
4095.00,0.4339
4096.00,0.4038
4097.00,0.3698
4098.00,0.3491
4099.00,0.3136
4100.00,0.3018
4101.00,0.3077
4102.00,0.3077
4103.00,0.3166
4104.00,0.3417
4105.00,0.3722
4106.00,0.4083
4107.00,0.4442
4108.00,0.4808
4109.00,0.5104
4110.00,0.5503
4111.00,0.5902
4112.00,0.6191
4113.00,0.6413
4114.00,0.6590
4115.00,0.6738
4116.00,0.6879
4117.00,0.7060
4118.00,0.7260
4119.00,0.7475
4120.00,0.7692
4121.00,0.7870
4122.00,0.7870
4123.00,0.7988
4124.00,0.7988
4125.00,0.7959
4126.00,0.7818
4127.00,0.7840
4128.00,0.7788
4129.00,0.7818
4130.00,0.7788
4131.00,0.7766
4132.00,0.7811
4133.00,0.7948
4134.00,0.8343
4135.00,0.8402
4136.00,0.8388
4137.00,0.8388
4138.00,0.8314
4139.00,0.8299
4140.00,0.8413
4141.00,0.8484
4142.00,0.8543
4143.00,0.8521
4144.00,0.8624
4145.00,0.8698
4146.00,0.8735
4147.00,0.8632
4148.00,0.8617
4149.00,0.8565
4150.00,0.8513
4151.00,0.8499
4152.00,0.8580
4153.00,0.8572
4154.00,0.8501
4155.00,0.8358
4156.00,0.8314
4157.00,0.8417
4158.00,0.8397
4159.00,0.8392
4160.00,0.8380
4161.00,0.8383
4162.00,0.8550
4163.00,0.8580
4164.00,0.8528
4165.00,0.8491
4166.00,0.8491
4167.00,0.8447
4168.00,0.8371
4169.00,0.8388
4170.00,0.8388
4171.00,0.8432
4172.00,0.8410
4173.00,0.8410
4174.00,0.8373
4175.00,0.8436
4176.00,0.8291
4177.00,0.8254
4178.00,0.8240
4179.00,0.8262
4180.00,0.8325
4181.00,0.8299
4182.00,0.8269
4183.00,0.8092
4184.00,0.8107
4185.00,0.8225
4186.00,0.8284
4187.00,0.8269
4188.00,0.8240
4189.00,0.8124
4190.00,0.8143
4191.00,0.8152
4192.00,0.8151
4193.00,0.8195
4194.00,0.8236
4195.00,0.8225
4196.00,0.8188
4197.00,0.8105
4198.00,0.8105
4199.00,0.8062
4200.00,0.8136
4201.00,0.8173
4202.00,0.8321
4203.00,0.8421
4204.00,0.8587
4205.00,0.8654
4206.00,0.8469
4207.00,0.8484
4208.00,0.8417
4209.00,0.8343
4210.00,0.8198
4211.00,0.8254
4212.00,0.8240
4213.00,0.8114
4214.00,0.8210
4215.00,0.8269
4216.00,0.8269
4217.00,0.8153
4218.00,0.7929
4219.00,0.7936
4220.00,0.8147
4221.00,0.8225
4222.00,0.8343
4223.00,0.8343
4224.00,0.8253
4225.00,0.8018
4226.00,0.8018
4227.00,0.7988
4228.00,0.8062
4229.00,0.8151
4230.00,0.8180
4231.00,0.8121
4232.00,0.8018
4233.00,0.8033
4234.00,0.8121
4235.00,0.8210
4236.00,0.8402
4237.00,0.8443
4238.00,0.8358
4239.00,0.8321
4240.00,0.8291
4241.00,0.8136
4242.00,0.7988
4243.00,0.7914
4244.00,0.7803
4245.00,0.7693
4246.00,0.7670
4247.00,0.7700
4248.00,0.7633
4249.00,0.7692
4250.00,0.7766
4251.00,0.7825
4252.00,0.7931
4253.00,0.7722
4254.00,0.7707
4255.00,0.7711
4256.00,0.7655
4257.00,0.7567
4258.00,0.7574
4259.00,0.7635
4260.00,0.7618
4261.00,0.7692
4262.00,0.7796
4263.00,0.7855
4264.00,0.7899
4265.00,0.7870
4266.00,0.7693
4267.00,0.7714
4268.00,0.7692
4269.00,0.7718
4270.00,0.7722
4271.00,0.7700
4272.00,0.7737
4273.00,0.7851
4274.00,0.7899
4275.00,0.7926
