wavelength_A,normalized_intensity
3900.00,0.4724
3901.00,0.4631
3902.00,0.4541
3903.00,0.4521
3904.00,0.4574
3905.00,0.4668
3906.00,0.4880
3907.00,0.5106
3908.00,0.5279
3909.00,0.5467
3910.00,0.5559
3911.00,0.5691
3912.00,0.5645
3913.00,0.5532
3914.00,0.5339
3915.00,0.5193
3916.00,0.5003
3917.00,0.4801
3918.00,0.4515
3919.00,0.4309
3920.00,0.4122
3921.00,0.4122
3922.00,0.4202
3923.00,0.4197
3924.00,0.3989
3925.00,0.3662
3926.00,0.3369
3927.00,0.3055
3928.00,0.2846
3929.00,0.2739
3930.00,0.2640
3931.00,0.2707
3932.00,0.2791
3933.00,0.2793
3934.00,0.2793
3935.00,0.2793
3936.00,0.2912
3937.00,0.3096
3938.00,0.3334
3939.00,0.3597
3940.00,0.3797
3941.00,0.3886
3942.00,0.4016
3943.00,0.4159
3944.00,0.4377
3945.00,0.4603
3946.00,0.4797
3947.00,0.4927
3948.00,0.5068
3949.00,0.5180
3950.00,0.5319
3951.00,0.5424
3952.00,0.5465
3953.00,0.5419
3954.00,0.5332
3955.00,0.5248
3956.00,0.5143
3957.00,0.5066
3958.00,0.4873
3959.00,0.4415
3960.00,0.3856
3961.00,0.3590
3962.00,0.3351
3963.00,0.3284
3964.00,0.3115
3965.00,0.3019
3966.00,0.3035
3967.00,0.3188
3968.00,0.3300
3969.00,0.3394
3970.00,0.3544
3971.00,0.3707
3972.00,0.3949
3973.00,0.4232
3974.00,0.4561
3975.00,0.4854
3976.00,0.5306
3977.00,0.5638
3978.00,0.5904
3979.00,0.5953
3980.00,0.6011
3981.00,0.6037
3982.00,0.6037
3983.00,0.6024
3984.00,0.6084
3985.00,0.6237
3986.00,0.6367
3987.00,0.6516
3988.00,0.6582
3989.00,0.6596
3990.00,0.6715
3991.00,0.6702
3992.00,0.6715
3993.00,0.6621
3994.00,0.6476
3995.00,0.6330
3996.00,0.6356
3997.00,0.6516
3998.00,0.6676
3999.00,0.6789
4000.00,0.7016
4001.00,0.6968
4002.00,0.6809
4003.00,0.6596
4004.00,0.6489
4005.00,0.6676
4006.00,0.6862
4007.00,0.7102
4008.00,0.7340
4009.00,0.7420
4010.00,0.7445
4011.00,0.7425
4012.00,0.7422
4013.00,0.7390
4014.00,0.7319
4015.00,0.7154
4016.00,0.7128
4017.00,0.7241
4018.00,0.7314
4019.00,0.7367
4020.00,0.7367
4021.00,0.7366
4022.00,0.7394
4023.00,0.7420
4024.00,0.7573
4025.00,0.7626
4026.00,0.7527
4027.00,0.7088
4028.00,0.6773
4029.00,0.6503
4030.00,0.6277
4031.00,0.6117
4032.00,0.6223
4033.00,0.6619
4034.00,0.7145
4035.00,0.7472
4036.00,0.7872
4037.00,0.7694
4038.00,0.7563
4039.00,0.7377
4040.00,0.7154
4041.00,0.6862
4042.00,0.6517
4043.00,0.5904
4044.00,0.5691
4045.00,0.6097
4046.00,0.6509
4047.00,0.6915
4048.00,0.7340
4049.00,0.7423
4050.00,0.7447
4051.00,0.7286
4052.00,0.7068
4053.00,0.6890
4054.00,0.6795
4055.00,0.6715
4056.00,0.6661
4057.00,0.6782
4058.00,0.6782
4059.00,0.6676
4060.00,0.6516
4061.00,0.6330
4062.00,0.6090
4063.00,0.6130
4064.00,0.6383
4065.00,0.6602
4066.00,0.6915
4067.00,0.7148
4068.00,0.6995
4069.00,0.6749
4070.00,0.6635
4071.00,0.6702
4072.00,0.6782
4073.00,0.6928
4074.00,0.6596
4075.00,0.6423
4076.00,0.6436
4077.00,0.6402
4078.00,0.6765
4079.00,0.7031
4080.00,0.7261
4081.00,0.7327
4082.00,0.7354
4083.00,0.7367
4084.00,0.7486
4085.00,0.7739
4086.00,0.7926
4087.00,0.7979
4088.00,0.8005
4089.00,0.7965
4090.00,0.7872
4091.00,0.7785
4092.00,0.7716
4093.00,0.7583
4094.00,0.7394
4095.00,0.7197
4096.00,0.7101
4097.00,0.6981
4098.00,0.6879
4099.00,0.6596
4100.00,0.6596
4101.00,0.6596
4102.00,0.6702
4103.00,0.6848
4104.00,0.7061
4105.00,0.7235
4106.00,0.7304
4107.00,0.7390
4108.00,0.7477
4109.00,0.7533
4110.00,0.7640
4111.00,0.7773
4112.00,0.7995
4113.00,0.8258
4114.00,0.8165
4115.00,0.7926
4116.00,0.7686
4117.00,0.7660
4118.00,0.7680
4119.00,0.7711
4120.00,0.7686
4121.00,0.7730
4122.00,0.7741
4123.00,0.7805
4124.00,0.7859
4125.00,0.7859
4126.00,0.7673
4127.00,0.7646
4128.00,0.7487
4129.00,0.7367
4130.00,0.7128
4131.00,0.6809
4132.00,0.6782
4133.00,0.7159
4134.00,0.7580
4135.00,0.7793
4136.00,0.7872
4137.00,0.7965
4138.00,0.8032
4139.00,0.7871
4140.00,0.7453
4141.00,0.7088
4142.00,0.6968
4143.00,0.7088
4144.00,0.7327
4145.00,0.7699
4146.00,0.7859
4147.00,0.7636
4148.00,0.7580
4149.00,0.7527
4150.00,0.7527
4151.00,0.7473
4152.00,0.7367
4153.00,0.7261
4154.00,0.7149
4155.00,0.7207
4156.00,0.7214
4157.00,0.7473
4158.00,0.7686
4159.00,0.7846
4160.00,0.7940
4161.00,0.7965
4162.00,0.8120
4163.00,0.8138
4164.00,0.8049
4165.00,0.7959
4166.00,0.7876
