Origin	MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Simbad	Cl* NGC 2682    FBC    3300	*inCl	08 51 15.77	+11 42 38.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3304	*inCl	08 51 15.80	+11 57 07.8	270	260	89	 	 	 	 	 	16.848	16.329	15.878	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3314	*inCl	08 51 16.16	+11 47 14.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3321	*inCl	08 51 16.53	+11 46 07.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3322	*inCl	08 51 16.54	+11 48 59.8	300	300	6	 	 	18.4	 	16.9	15.289	14.562	14.419	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3328	*inCl	08 51 16.65	+11 57 57.7	300	300	6	 	 	 	 	 	16.676	15.785	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3332	*inCl	08 51 16.78	+11 56 38.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3339	*inCl	08 51 16.88	+11 40 11.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3341	*inCl	08 51 16.91	+11 49 38.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3344	*inCl	08 51 16.93	+11 54 47.5	220	220	0	 	 	19.4	 	17.3	16.861	 	15.301	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3346	*inCl	08 51 17.09	+11 42 46.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3350	*inCl	08 51 17.17	+11 52 04.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3357	*inCl	08 51 17.30	+11 39 23.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3362	*inCl	08 51 17.48	+11 56 20.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3369	*inCl	08 51 17.70	+11 38 10.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3373	*inCl	08 51 17.79	+11 46 54.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3376	*inCl	08 51 17.74	+11 53 45.0	250	240	175	 	 	 	 	 	16.506	16.045	15.541	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3378	*inCl	08 51 17.95	+11 37 37.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3384	*inCl	08 51 18.23	+11 46 44.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3385	*inCl	08 51 18.26	+11 56 06.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3386	*inCl	08 51 18.30	+11 39 42.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3389	*inCl	08 51 18.33	+11 41 29.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3391	*inCl	08 51 18.44	+11 38 33.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3392	*inCl	08 51 18.46	+11 41 04.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3403	*inCl	08 51 18.81	+11 41 11.6	300	300	6	 	 	16.3	 	15.7	14.843	14.378	14.471	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3404	*inCl	08 51 18.82	+11 41 49.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3407	*inCl	08 51 18.85	+11 39 14.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3408	*inCl	08 51 18.87	+11 54 17.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3411	*inCl	08 51 19.00	+11 48 21.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3415	*inCl	08 51 19.07	+11 47 21.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3424	*inCl	08 51 19.26	+11 48 26.6	300	300	6	 	 	19	 	17.4	15.151	14.6	14.312	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3433	*inCl	08 51 19.57	+11 45 12.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3435	*inCl	08 51 19.68	+11 38 05.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3437	*inCl	08 51 19.73	+11 54 16.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3441	*inCl	08 51 19.85	+11 37 56.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3442	*inCl	08 51 19.85	+11 58 13.0	300	300	6	 	 	19.1	 	16.7	14.617	13.955	13.727	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3448	*inCl	08 51 19.95	+11 48 37.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3450	*inCl	08 51 19.98	+11 41 27.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3469	*inCl	08 51 20.76	+11 48 31.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3475	*inCl	08 51 20.94	+11 43 35.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3476	*inCl	08 51 21.00	+11 57 32.9	300	300	6	 	 	 	 	 	16.762	16.259	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3482	*inCl	08 51 21.26	+11 54 50.2	70	60	90	 	 	 	 	 	14.79	14.163	13.922	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3483	*inCl	08 51 21.35	+11 54 14.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3484	*inCl	08 51 21.40	+11 48 08.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3487	*inCl	08 51 21.46	+11 44 00.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3488	*inCl	08 51 21.39	+11 56 53.1	260	250	109	 	 	 	 	 	16.752	15.973	15.735	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3489	*inCl	08 51 21.48	+11 51 27.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3494	*inCl	08 51 21.58	+11 53 27.0	220	210	166	 	 	17.9	 	16.8	16.125	15.908	15.421	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3498	*inCl	08 51 21.70	+11 41 36.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3502	*inCl	08 51 21.89	+11 58 47.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3506	*inCl	08 51 22.01	+11 54 53.1	300	300	6	 	 	 	 	 	15.334	14.738	14.397	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3507	*inCl	08 51 21.97	+11 55 17.9	90	80	90	 	 	19.4	 	17.6	15.752	15.152	15.037	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3508	*inCl	08 51 22.04	+11 43 44.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3509	*inCl	08 51 22.10	+11 56 59.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3512	*inCl	08 51 22.12	+11 56 17.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3514	*inCl	08 51 22.18	+11 37 10.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3516	*inCl	08 51 22.22	+11 40 38.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3518	*inCl	08 51 22.24	+11 44 38.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3519	*inCl	08 51 22.27	+11 37 58.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3521	*inCl	08 51 22.28	+11 50 53.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3531	*inCl	08 51 22.59	+11 51 18.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3532	*inCl	08 51 22.61	+11 50 49.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3534	*inCl	08 51 22.65	+11 40 57.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3537	*inCl	08 51 22.86	+11 40 30.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3538	*inCl	08 51 22.92	+11 49 55.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3539	*inCl	08 51 22.93	+11 56 21.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3542	*inCl	08 51 23.01	+11 41 06.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3544	*inCl	08 51 23.05	+11 46 41.6	300	300	6	 	 	19.5	 	18.3	15.926	15.456	15.27	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3549	*inCl	08 51 23.18	+11 57 36.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3552	*inCl	08 51 23.13	+11 46 23.6	340	300	83	 	 	 	 	 	16.617	16.235	15.916	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3559	*inCl	08 51 23.53	+11 44 46.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3562	*inCl	08 51 23.65	+11 57 24.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3565	*inCl	08 51 23.79	+11 44 10.6	300	300	6	 	 	 	 	 	16.669	16.011	15.79	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3569	*inCl	08 51 23.93	+11 41 41.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3582	*inCl	08 51 24.25	+11 51 55.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3599	*inCl	08 51 24.62	+11 40 50.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3602	*inCl	08 51 24.85	+11 51 48.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3606	*inCl	08 51 24.97	+11 50 35.7	300	300	6	 	 	20	 	18.5	15.972	15.3	15.084	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3610	*inCl	08 51 25.09	+11 41 17.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3618	*inCl	08 51 25.43	+11 47 34.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3620	*inCl	08 51 25.55	+11 55 38.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3626	*inCl	08 51 25.77	+11 40 56.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3635	*inCl	08 51 26.05	+11 38 58.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3639	*inCl	08 51 26.16	+11 57 50.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3643	*inCl	08 51 26.24	+11 43 24.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3651	*inCl	08 51 26.49	+11 40 47.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3655	*inCl	08 51 26.51	+11 42 39.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3663	*inCl	08 51 26.70	+11 45 43.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3666	*inCl	08 51 26.90	+11 42 23.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3672	*inCl	08 51 26.96	+11 52 20.3	130	130	0	 	 	 	 	 	16.387	15.373	15.502	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3676	*inCl	08 51 27.15	+11 53 18.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3681	*inCl	08 51 27.31	+11 48 09.7	300	300	6	 	 	19.1	 	16.4	14.825	14.152	13.958	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3682	*inCl	08 51 27.31	+11 41 58.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3688	*inCl	08 51 27.55	+11 43 25.9	130	120	8	 	 	 	 	 	16.2	15.248	15.097	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3691	*inCl	08 51 27.73	+11 57 29.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3698	*inCl	08 51 27.99	+11 40 02.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3703	*inCl	08 51 28.10	+11 42 34.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3704	*inCl	08 51 28.11	+11 53 19.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3705	*inCl	08 51 28.19	+11 56 03.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3711	*inCl	08 51 28.40	+11 46 49.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3712	*inCl	08 51 28.44	+11 41 55.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3715	*inCl	08 51 28.57	+11 45 33.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3718	*inCl	08 51 28.82	+11 55 12.8	300	300	6	 	 	 	 	 	16.432	15.929	15.606	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3727	*inCl	08 51 29.05	+11 51 13.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3729	*inCl	08 51 29.24	+11 42 11.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3734	*inCl	08 51 29.37	+11 37 50.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3748	*inCl	08 51 29.82	+11 45 06.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3759	*inCl	08 51 30.04	+11 46 23.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3765	*inCl	08 51 30.17	+11 41 15.8	300	300	6	 	 	 	 	 	15.814	15.004	14.631	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3769	*inCl	08 51 30.44	+11 45 05.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3771	*inCl	08 51 30.45	+11 50 05.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3772	*inCl	08 51 30.47	+11 41 43.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3774	*inCl	08 51 30.48	+11 47 02.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3777	*inCl	08 51 30.57	+11 54 01.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3782	*inCl	08 51 30.66	+11 55 22.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3784	*inCl	08 51 30.68	+11 47 47.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3787	*inCl	08 51 30.80	+11 55 37.6	300	300	6	 	 	 	 	 	17.064	16.006	15.838	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3792	*inCl	08 51 30.90	+11 44 02.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3793	*inCl	08 51 30.94	+11 37 44.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3799	*inCl	08 51 31.13	+11 50 38.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3801	*inCl	08 51 31.18	+11 43 58.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3802	*inCl	08 51 31.20	+11 57 46.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3806	*inCl	08 51 31.33	+11 49 50.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3814	*inCl	08 51 31.62	+11 50 32.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3818	*inCl	08 51 31.68	+11 58 00.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3820	*inCl	08 51 31.68	+11 56 56.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3822	*inCl	08 51 31.71	+11 46 13.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3823	*inCl	08 51 31.74	+11 47 28.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3824	*inCl	08 51 31.78	+11 54 56.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3825	*inCl	08 51 31.81	+11 45 08.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3827	*inCl	08 51 31.95	+11 53 26.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3828	*inCl	08 51 31.96	+11 38 16.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3831	*inCl	08 51 32.00	+11 45 24.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3833	*inCl	08 51 32.10	+11 43 20.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3835	*inCl	08 51 32.21	+11 54 05.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3837	*inCl	08 51 32.15	+11 46 36.5	70	70	0	 	 	 	 	 	15.256	14.541	14.463	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3839	*inCl	08 51 32.22	+11 46 26.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3840	*inCl	08 51 32.24	+11 46 55.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3841	*inCl	08 51 32.28	+11 55 53.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3845	*inCl	08 51 32.42	+11 44 22.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3851	*inCl	08 51 32.52	+11 39 17.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3859	*inCl	08 51 32.69	+11 45 59.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3860	*inCl	08 51 32.73	+11 49 54.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3861	*inCl	08 51 32.74	+11 50 30.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3867	*inCl	08 51 33.02	+11 54 47.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3869	*inCl	08 51 33.12	+11 53 14.7	300	300	6	 	 	 	 	 	15.7	14.993	14.989	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3872	*inCl	08 51 33.23	+11 51 02.1	300	300	6	 	 	 	 	 	16.771	16.223	15.569	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3873	*inCl	08 51 33.21	+11 46 30.6	140	130	98	 	 	 	 	 	16.123	15.366	15.223	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3874	*inCl	08 51 33.28	+11 48 51.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3879	*inCl	08 51 33.39	+11 54 43.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3890	*inCl	08 51 33.72	+11 38 33.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3891	*inCl	08 51 33.73	+11 46 15.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3897	*inCl	08 51 34.18	+11 39 48.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3898	*inCl	08 51 34.22	+11 44 16.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3902	*inCl	08 51 34.30	+11 52 30.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3913	*inCl	08 51 34.64	+11 50 02.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3916	*inCl	08 51 34.88	+11 40 20.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3917	*inCl	08 51 34.88	+11 45 37.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3922	*inCl	08 51 35.08	+11 55 15.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3923	*inCl	08 51 35.15	+11 42 46.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3927	*inCl	08 51 35.25	+11 49 50.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3928	*inCl	08 51 35.27	+11 46 11.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3929	*inCl	08 51 35.28	+11 50 25.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3931	*inCl	08 51 35.31	+11 47 39.4	300	300	6	 	 	19.9	 	18.6	16.15	15.329	15.082	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3934	*inCl	08 51 35.41	+11 48 33.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3936	*inCl	08 51 35.51	+11 50 19.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3940	*inCl	08 51 35.63	+11 57 12.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3941	*inCl	08 51 35.66	+11 51 08.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3942	*inCl	08 51 35.67	+11 39 32.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3955	*inCl	08 51 36.28	+11 54 34.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3956	*inCl	08 51 36.29	+11 39 40.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3961	*inCl	08 51 36.45	+11 49 33.7	300	300	6	 	 	18.5	 	16.6	14.596	13.935	13.719	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3968	*inCl	08 51 36.80	+11 47 27.9	300	300	6	 	 	 	 	 	15.096	14.425	14.374	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3972	*inCl	08 51 37.09	+11 54 49.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3974	*inCl	08 51 37.11	+11 46 32.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3982	*inCl	08 51 37.33	+11 40 32.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    3988	*inCl	08 51 37.61	+11 46 21.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
