Origin	MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Simbad	Cl* NGC 2682    FBC    2787	*inCl	08 50 58.05	+11 57 07.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2789	*inCl	08 50 58.01	+11 54 22.4	260	250	173	 	 	 	 	 	16.7	16.045	15.698	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2802	*inCl	08 50 58.46	+11 53 55.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2804	*inCl	08 50 58.51	+11 48 06.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2809	*inCl	08 50 58.64	+11 52 51.5	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2812	*inCl	08 50 58.80	+11 57 41.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2815	*inCl	08 50 58.98	+11 48 19.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2817	*inCl	08 50 59.09	+11 48 28.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2833	*inCl	08 50 59.46	+11 48 38.8	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2835	*inCl	08 50 59.48	+11 54 52.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2847	*inCl	08 50 59.98	+11 56 39.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2854	*inCl	08 51 00.27	+11 40 10.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2856	*inCl	08 51 00.43	+11 53 39.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2857	*inCl	08 51 00.47	+11 54 04.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2859	*inCl	08 51 00.68	+11 40 01.9	300	300	6	 	 	19.6	 	19	16.459	15.522	15.4	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2862	*inCl	08 51 00.75	+11 48 23.4	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2869	*inCl	08 51 00.91	+11 51 05.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2877	*inCl	08 51 01.28	+11 48 21.1	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2882	*inCl	08 51 01.38	+11 44 35.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2884	*inCl	08 51 01.50	+11 58 03.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2888	*inCl	08 51 01.61	+11 44 28.7	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2897	*inCl	08 51 01.93	+11 56 39.9	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2899	*inCl	08 51 01.98	+11 49 53.0	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2902	*inCl	08 51 02.18	+11 52 32.6	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2903	*inCl	08 51 02.17	+11 53 42.3	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
Simbad	Cl* NGC 2682    FBC    2906	*inCl	08 51 02.20	+11 56 55.2	300	300	6	 	 	 	 	 	 	 	 	 	 	 	 	1
